"%1 star","%1 ster"
"%1 star to %2 stars","%1 ster tot %2 sterre"
"%1 stars","%1 sterre"
"%1 stars to %2 stars","%1 sterre tot %2 sterre"
"-- Please select --","-- Kies asseblief --"
"-- Please select attribute --","- Kies asseblief eienskap -"
"Example: .step-title{background-color: #1979c3;}","Voorbeeld: .step-titel {agtergrond-kleur: # 1979c3;}"
"Add Attribute","Voeg kenmerk by"
"Add New Page","Voeg nuwe bladsy by"
"All Products Page","Alle Produkte Bladsy"
"Are you sure?","Is jy seker?"
"Attribute height","Attribuut hoogte"
"Attributes","eienskappe"
"Block height","Blokhoogte"
"Both","beide"
"Cannot delete page with ID %1","Kan bladsy nie met ID %1 verwyder nie"
"Cannot find page to delete.","Kan bladsy nie vind om te verwyder nie."
"Category","kategorie"
"Choose attribute display option types.","Kies kenmerk opsies vir vertoning opsies."
"Custom Css","Aangepaste Css"
"Custom Products Page Information","Custom Products Page Information"
"Custom Products Pages","Custom Products Pages"
"Default","verstek"
"Default Attributes","Verstek eienskappe"
"Default: 'Products'","Verstek: 'Produkte'"
"Delete","verwyder"
"Delete Page","Vee bladsy uit"
"Delete successfully !","Vee suksesvol uit!"
"Design Configuration","Ontwerpkonfigurasie"
"Display Type","Skerm Tipe"
"Edit","wysig"
"Edit Page ","Verander bladsy "
"Enable Infinite scroll","Aktiveer Oneindige skuif"
"Flat UI","Flat UI"
"Footer link","Footer skakel"
"From","Van"
"Hidden","verborge"
"Horizontal","horisontale"
"Html5","HTML5"
"ID","ID"
"If yes, products will auto load when scroll down.","Indien wel, sal die produkte outomaties laai wanneer jy afrol."
"Link Position","Skakel Posisie"
"Link Title","Skakel Titel"
"Max height of each attribute in px. Default '200'","Maksimum hoogte van elke kenmerk in px. Verstek '200'"
"Meta Description","Meta Beskrywing"
"Meta Keywords","Meta Sleutelwoorde"
"Meta Title","Metatitel"
"Modern","moderne"
"Name","naam"
"New Page","Nuwe bladsy"
"Nice white","Mooi wit"
"Normal","Normaal"
"Number of option","Aantal opsies"
"Number of options","Aantal opsies"
"Number of options in attribute can be display by default. Default '5'","Aantal opsies in attribuut kan by verstek vertoon word. Verstek '5'"
"Options","opsies"
"Page Information","Bladsy inligting"
"Page Route","Bladsy Roete"
"Page Title","Bladsy titel"
"Please enter the page name.","Voer asseblief die bladsy naam in."
"Please enter the page route.","Voer asseblief die bladsy roete in."
"Please enter the page title.","Voer asseblief die bladsy titel in."
"Save Page","Stoor bladsy"
"Save and Continue Edit","Stoor en gaan voort Verander"
"Scroll","Scroll"
"Show As Slider","Wys as skuiwer"
"Show Link On","Wys skakel aan"
"Show Navigation","Wys navigasie"
"Show Type","Wys Tipe"
"Simple dark","Eenvoudig donker"
"Slider Type","Slider Type"
"Something went wrong while saving the page.","Iets het fout gegaan terwyl die bladsy gestoor is."
"Status","status"
"Store View","Winkel sien"
"Stores view","Stoor vertoning"
"The page doesnot exist.","Die bladsy bestaan ​​nie."
"The page has been saved successfully.","Die bladsy is suksesvol gestoor."
"The url key ","Die url sleutel "
"To","om"
"Top link","Top skakel"
"Url key","Url sleutel"
"Use Config Settings","Gebruik Config Settings"
"Vertical","vertikale"
"You can custom your all products page route","U kan u al die produkte bladsy roete pas"
