"%1 star","%1 من النجمة"
"%1 star to %2 stars","%1 من النجمة إلى %2 من النجوم"
"%1 stars","%1 من النجوم"
"%1 stars to %2 stars","%1 من النجوم إلى %2 من النجوم"
"-- Please select --","- الرجاء الاختيار -"
"-- Please select attribute --","--الرجاء اختيار السمة-"
"Example: .step-title{background-color: #1979c3;}","على سبيل المثال:عنوان-المرحلة {لون الخلفية: #1979 ج 3؛}"
"Add Attribute","اضف ميزة"
"Add New Page","أضف صفحة جديدة"
"All Products Page","جميع منتجات الصفحة"
"Are you sure?","هل أنت متأكد؟"
"Attribute height","ارتفاع السمة"
"Attributes","السمات"
"Block height","ارتفاع الكتلة"
"Both","كل منهما"
"Cannot delete page with ID %1","لا يمكن حذف الصفحة التي تحمل الرقم التعريفي %1"
"Cannot find page to delete.","لا يمكن العثور على الصفحة لحذفها."
"Category","الفئة"
"Choose attribute display option types.","اختر أنواع خيارات عرض السمة."
"Custom Css","تخصيص لغة تنسيق الويب"
"Custom Products Page Information","منتجات مخصصة لمعلومات الصفحة"
"Custom Products Pages","تخصيص صفحات المنتجات"
"Default","افتراضي"
"Default Attributes","السمات الافتراضية"
"Default: 'Products'","افتراضي: ""المنتجات"""
"Delete","حذف"
"Delete Page","حذف الصفحة"
"Delete successfully !","تم الحذف بنجاح!"
"Design Configuration","ضبط التصميم"
"Display Type","اضهار النوع"
"Edit","تعديل"
"Edit Page ","تغيير الصفحة "
"Enable Infinite scroll","تمكين التمرير اللانهائي"
"Flat UI","واجهة المستخدم"
"Footer link","رابط تذييل الصفحة"
"From","من"
"Hidden","مخفي"
"Horizontal","أفقي"
"Html5","لغة الايش تي ام ال 5"
"ID","رقم تسجيل"
"If yes, products will auto load when scroll down.","إذا كانت الإجابة بنعم، سيتم تحميل المنتجات تلقائيا عند التمرير للأسفل."
"Link Position","وضع الرابط"
"Link Title","عنوان الرابط"
"Max height of each attribute in px. Default '200'","أقصى ارتفاع لكل سمة في بكسل. افتراضي '200'"
"Meta Description","وصف مبسط"
"Meta Keywords","كلمات دلالية"
"Meta Title","العنوان الوصفي"
"Modern","حديث"
"Name","الاسم"
"New Page","صفحة جديدة"
"Nice white","بيضاء"
"Normal","عادي"
"Number of option","عدد الخيارات"
"Number of options","عدد الخيارات"
"Number of options in attribute can be display by default. Default '5'","يمكن عرض عدد من الخيارات في السمة بشكل افتراضي. الافتراضي '5'"
"Options","خيارات"
"Page Information","معلومات الصفحة"
"Page Route","مسار الصفحة"
"Page Title","عنوان الصفحة"
"Please enter the page name.","الرجاء إدخال اسم الصفحة."
"Please enter the page route.","الرجاء إدخال مسار الصفحة."
"Please enter the page title.","الرجاء إدخال عنوان الصفحة."
"Save Page","احفظ الصفحة"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Scroll","التمرير"
"Show As Slider","إظهار كشريط التمرير"
"Show Link On","عرض الرّابط"
"Show Navigation","إظهار التنقل"
"Show Type","إظهار النوع"
"Simple dark","مظلمة"
"Slider Type","نوع شريط التمرير"
"Something went wrong while saving the page.","حدث خطأ ما أثناء حفظ الصفحة."
"Status","الحالة"
"Store View","المشاهدات في المتجر"
"Stores view","المشاهدة في المتاجر"
"The page doesnot exist.","هذه الصفحة غير موجودة."
"The page has been saved successfully.","تم حفظ الصفحة بنجاح."
"The url key ","مفتاح الرابط "
"To","إلى"
"Top link","أعلى الرابط"
"Url key","مفتاح الرابط"
"Use Config Settings","استخدام إعدادات التكوين"
"Vertical","عمودي"
"You can custom your all products page route","يمكنك تخصيص مسار الفحة لجميع المنتجات"
