"%1 star","%1 estrella"
"%1 star to %2 stars","%1 estrelles a %2 estrelles"
"%1 stars","%1 estrelles"
"%1 stars to %2 stars","%1 estrelles a %2 estrelles"
"-- Please select --","- Seleccioneu -"
"-- Please select attribute --","- Seleccioneu l'atribut -"
"Example: .step-title{background-color: #1979c3;}","Exemple: .step-title {background-color: # 1979c3;}"
"Add Attribute","Afegeix un atribut"
"Add New Page","Afegeix una pàgina nova"
"All Products Page","Tots els productes Pàgina"
"Are you sure?","Estàs segur?"
"Attribute height","Alçada de l'atribut"
"Attributes","Atributs"
"Block height","Alçada del bloc"
"Both","Tots dos"
"Cannot delete page with ID %1","No es pot eliminar la pàgina amb l'ID %1"
"Cannot find page to delete.","No es pot trobar la pàgina per esborrar."
"Category","Categoria"
"Choose attribute display option types.","Trieu els tipus d'opcions de visualització d'atributs."
"Custom Css","CSS personalitzat"
"Custom Products Page Information","Informació de la pàgina de productes personalitzats"
"Custom Products Pages","Pàgines de productes personalitzades"
"Default","Per defecte"
"Default Attributes","Atributs per defecte"
"Default: 'Products'","Valor per defecte: ""Productes"""
"Delete","Suprimeix"
"Delete Page","Suprimeix la pàgina"
"Delete successfully !","Suprimeix amb èxit!"
"Design Configuration","Configuració del disseny"
"Display Type","Tipus de pantalla"
"Edit","Edita"
"Edit Page ","Edita la pàgina "
"Enable Infinite scroll","Activa el desplaçament infinit"
"Flat UI","UI plana"
"Footer link","Enllaç del peu de pàgina"
"From","Des de"
"Hidden","Amagat"
"Horizontal","Horitzontal"
"Html5","Html5"
"ID","ID"
"If yes, products will auto load when scroll down.","En cas afirmatiu, els productes es carregaran automàticament quan es desplaci cap avall."
"Link Position","Enllaç Posició"
"Link Title","Títol de l'enllaç"
"Max height of each attribute in px. Default '200'","Altura màxima de cada atribut en px. Per defecte '200'"
"Meta Description","Meta Descripció"
"Meta Keywords","Paraules clau meta"
"Meta Title","Meta Títol"
"Modern","Moderna"
"Name","Nom"
"New Page","Pàgina nova"
"Nice white","Bonic blanc"
"Normal","Normal"
"Number of option","Número d'opció"
"Number of options","Nombre d'opcions"
"Number of options in attribute can be display by default. Default '5'","El nombre d'opcions a l'atribut es pot mostrar de manera predeterminada. Per defecte '5'"
"Options","Opcions"
"Page Information","Informació de la pàgina"
"Page Route","Ruta de la pàgina"
"Page Title","Títol de la pàgina"
"Please enter the page name.","Introduïu el nom de la pàgina."
"Please enter the page route.","Introduïu la ruta de la pàgina."
"Please enter the page title.","Introduïu el títol de la pàgina."
"Save Page","Desa la pàgina"
"Save and Continue Edit","Desa i continua Edita"
"Scroll","Desplaça't"
"Show As Slider","Mostra com a control lliscant"
"Show Link On","Mostra l'enllaç encesa"
"Show Navigation","Mostra la navegació"
"Show Type","Mostra el tipus"
"Simple dark","Fosc senzill"
"Slider Type","Tipus de control lliscant"
"Something went wrong while saving the page.","S'ha produït un error en desar la pàgina."
"Status","Estat"
"Store View","Vista de la botiga"
"Stores view","Vista de botigues"
"The page doesnot exist.","La pàgina no existeix."
"The page has been saved successfully.","La pàgina s'ha desat correctament."
"The url key ","La clau url "
"To","A"
"Top link","Enllaç superior"
"Url key","Clau d'URL"
"Use Config Settings","Utilitzeu la configuració de configuració"
"Vertical","Vertical"
"You can custom your all products page route","Podeu personalitzar la ruta de la vostra pàgina de tots els productes"
