"%1 star","%1 hvězdička"
"%1 star to %2 stars","%1 hvězdička na %2 hvězdiček"
"%1 stars","%1 hvězdiček"
"%1 stars to %2 stars","%1 hvězdiček do %2 hvězdiček"
"-- Please select --","-- Prosím vyberte --"
"-- Please select attribute --","- Vyberte atribut -"
"Example: .step-title{background-color: #1979c3;}","Příklad: .step-title {barva pozadí: # 1979c3;}"
"Add Attribute","Přidat atribut"
"Add New Page","Přidat novou stránku"
"All Products Page","Všechny produkty"
"Are you sure?","Jsi si jistá?"
"Attribute height","Výška atributu"
"Attributes","Atributy"
"Block height","Výška bloku"
"Both","Oba"
"Cannot delete page with ID %1","Stránka s ID %1 nelze smazat"
"Cannot find page to delete.","Nelze najít stránku, kterou chcete smazat."
"Category","Kategorie"
"Choose attribute display option types.","Vyberte typy voleb pro zobrazení atributů."
"Custom Css","Vlastní Css"
"Custom Products Page Information","Informace o uživatelských stránkách"
"Custom Products Pages","Stránky vlastních produktů"
"Default","Výchozí nastavení"
"Default Attributes","Výchozí atributy"
"Default: 'Products'","Výchozí hodnota: ""Produkty"""
"Delete","Vymazat"
"Delete Page","Odstranit stránku"
"Delete successfully !","Úspěšně smazat!"
"Design Configuration","Konfigurace návrhu"
"Display Type","Typ displeje"
"Edit","Upravit"
"Edit Page ","Upravit stránku "
"Enable Infinite scroll","Povolit nekonečný posuv"
"Flat UI","Plošné uživatelské rozhraní"
"Footer link","Zápatí odkazu"
"From","Z"
"Hidden","Skrytý"
"Horizontal","Horizontální"
"Html5","Html5"
"ID","ID"
"If yes, products will auto load when scroll down.","Pokud ano, produkty se automaticky načtou při posouvání dolů."
"Link Position","Poloha spojení"
"Link Title","Link Title"
"Max height of each attribute in px. Default '200'","Maximální výška každého atributu v px. Výchozí '200'"
"Meta Description","Meta Popis"
"Meta Keywords","Meta klíčová slova"
"Meta Title","Meta Title"
"Modern","Moderní"
"Name","název"
"New Page","Nová stránka"
"Nice white","Pěkně bílá"
"Normal","Normální"
"Number of option","Počet možností"
"Number of options","Počet možností"
"Number of options in attribute can be display by default. Default '5'","Počet možností v atributu lze ve výchozím nastavení zobrazit. Výchozí hodnota ""5"""
"Options","Možnosti"
"Page Information","Informace o stránce"
"Page Route","Trasa stránky"
"Page Title","Název stránky"
"Please enter the page name.","Zadejte název stránky."
"Please enter the page route.","Zadejte prosím cestu stránky."
"Please enter the page title.","Zadejte název stránky."
"Save Page","Uložit stránku"
"Save and Continue Edit","Uložit a pokračovat v úpravě"
"Scroll","Svitek"
"Show As Slider","Zobrazit jako posuvník"
"Show Link On","Zobrazit odkaz Zap"
"Show Navigation","Zobrazit navigaci"
"Show Type","Zobrazit typ"
"Simple dark","Jednoduchá tma"
"Slider Type","Typ posuvníku"
"Something went wrong while saving the page.","Při ukládání stránky došlo k chybě."
"Status","Postavení"
"Store View","Zobrazení obchodu"
"Stores view","Zobrazuje ukládání"
"The page doesnot exist.","Stránka neexistuje."
"The page has been saved successfully.","Stránka byla úspěšně uložena."
"The url key ","Klíč url "
"To","Na"
"Top link","Nahoru odkaz"
"Url key","Klíč url"
"Use Config Settings","Použijte nastavení Config"
"Vertical","Vertikální"
"You can custom your all products page route","Můžete si přizpůsobit trasu stránky všech produktů"
