"%1 star","%1 stjerne"
"%1 star to %2 stars","%1 stjerne til %2 stjerner"
"%1 stars","%1 stjerner"
"%1 stars to %2 stars","%1 stjerner til %2 stjerner"
"-- Please select --","-- Vælg venligst --"
"-- Please select attribute --","- Vælg venligst attribut -"
"Example: .step-title{background-color: #1979c3;}","Eksempel: .step-titel {baggrundsfarve: # 1979c3;}"
"Add Attribute","Tilføj attribut"
"Add New Page","Tilføj ny side"
"All Products Page","Alle produkter side"
"Are you sure?","Er du sikker?"
"Attribute height","Attribut højde"
"Attributes","Egenskaber"
"Block height","Blokhøjde"
"Both","Begge"
"Cannot delete page with ID %1","Kan ikke slette side med ID %1"
"Cannot find page to delete.","Kan ikke finde side, der skal slettes."
"Category","Kategori"
"Choose attribute display option types.","Vælg attributtype displayoptionstyper."
"Custom Css","Brugerdefineret css"
"Custom Products Page Information","Brugerdefinerede produktsideoplysninger"
"Custom Products Pages","Brugerdefinerede produktsider"
"Default","Standard"
"Default Attributes","Standard attributter"
"Default: 'Products'","Standard: 'Produkter'"
"Delete","Slet"
"Delete Page","Slet side"
"Delete successfully !","Slet godt!"
"Design Configuration","Designkonfiguration"
"Display Type","Skærmtype"
"Edit","Redigere"
"Edit Page ","Rediger side "
"Enable Infinite scroll","Aktivér Uendelig rulning"
"Flat UI","Flad UI"
"Footer link","Footer link"
"From","Fra"
"Hidden","Skjult"
"Horizontal","Vandret"
"Html5","HTML5"
"ID","ID"
"If yes, products will auto load when scroll down.","Hvis ja, vil produkterne automatisk indlæses, når du ruller ned."
"Link Position","Link Position"
"Link Title","Link Titel"
"Max height of each attribute in px. Default '200'","Maksimal højde for hver attribut i px. Standard '200'"
"Meta Description","Meta beskrivelse"
"Meta Keywords","Meta Nøgleord"
"Meta Title","Meta Titel"
"Modern","Moderne"
"Name","Navn"
"New Page","Ny side"
"Nice white","Nice hvid"
"Normal","Normal"
"Number of option","Antal muligheder"
"Number of options","Antal muligheder"
"Number of options in attribute can be display by default. Default '5'","Antal indstillinger i attributten kan som standard vises. Standard '5'"
"Options","Muligheder"
"Page Information","Sideoplysninger"
"Page Route","Side Rute"
"Page Title","Sidetitel"
"Please enter the page name.","Indtast venligst sidens navn."
"Please enter the page route.","Indtast siden rute."
"Please enter the page title.","Indtast venligst sidetitel."
"Save Page","Gem side"
"Save and Continue Edit","Gem og Fortsæt Rediger"
"Scroll","Rul"
"Show As Slider","Vis som skyderen"
"Show Link On","Vis link på"
"Show Navigation","Vis navigation"
"Show Type","Vis type"
"Simple dark","Enkel mørk"
"Slider Type","Skyderen type"
"Something went wrong while saving the page.","Noget gik galt, mens siden gemmes."
"Status","status"
"Store View","Store visning"
"Stores view","Opbevarer visning"
"The page doesnot exist.","Siden findes ikke."
"The page has been saved successfully.","Siden er blevet gemt med succes."
"The url key ","Url-tasten "
"To","Til"
"Top link","Top link"
"Url key","Url-nøgle"
"Use Config Settings","Brug Config Settings"
"Vertical","Lodret"
"You can custom your all products page route","Du kan tilpasse din alle produkter side rute"
