"%1 star","%1 Stern"
"%1 star to %2 stars","%1 Stern zu %2 Sternen"
"%1 stars","%1 Sterne"
"%1 stars to %2 stars","%1 Sterne zu %2 Sternen"
"-- Please select --","-- Bitte auswählen --"
"-- Please select attribute --","- Bitte Attribut auswählen -"
"Example: .step-title{background-color: #1979c3;}","Beispiel: .step-title {background-color: # 1979c3;}"
"Add Attribute","Attribute hinzufügen"
"Add New Page","Neue Seite hinzufügen"
"All Products Page","Alle Produkte Seite"
"Are you sure?","Bist du sicher?"
"Attribute height","Attributhöhe"
"Attributes","Attribute"
"Block height","Blockhöhe"
"Both","Beide"
"Cannot delete page with ID %1","Die Seite mit der ID %1 kann nicht gelöscht werden"
"Cannot find page to delete.","Die zu löschende Seite kann nicht gefunden werden."
"Category","Kategorie"
"Choose attribute display option types.","Wählen Sie Attributanzeige-Optionstypen."
"Custom Css","Benutzerdefinierte CSS"
"Custom Products Page Information","Benutzerdefinierte Produkte Seiteninformationen"
"Custom Products Pages","Benutzerdefinierte Produktseiten"
"Default","Standard"
"Default Attributes","Standardattribute"
"Default: 'Products'","Standard: 'Produkte'"
"Delete","Löschen"
"Delete Page","Seite löschen"
"Delete successfully !","Löschen Sie erfolgreich!"
"Design Configuration","Entwurfskonfiguration"
"Display Type","Anzeigetyp"
"Edit","Bearbeiten"
"Edit Page ","Seite bearbeiten "
"Enable Infinite scroll","Aktiviere Unendliche Schriftrolle"
"Flat UI","Flache Benutzeroberfläche"
"Footer link","Fußzeilenverknüpfung"
"From","Von"
"Hidden","Versteckt"
"Horizontal","Horizontal"
"Html5","HTML5"
"ID","ICH WÜRDE"
"If yes, products will auto load when scroll down.","Wenn ja, werden die Produkte beim Scrollen automatisch geladen."
"Link Position","Linkposition"
"Link Title","Linktitel"
"Max height of each attribute in px. Default '200'","Maximale Höhe jedes Attributs in px. Standard '200'"
"Meta Description","Meta Beschreibung"
"Meta Keywords","Meta-Keywords"
"Meta Title","Meta-Titel"
"Modern","Modern"
"Name","Name"
"New Page","Neue Seite"
"Nice white","Schönes Weiß"
"Normal","Normal"
"Number of option","Anzahl der Optionen"
"Number of options","Anzahl der Optionen"
"Number of options in attribute can be display by default. Default '5'","Die Anzahl der Optionen im Attribut kann standardmäßig angezeigt werden. Standard '5'"
"Options","Optionen"
"Page Information","Seiteninformationen"
"Page Route","Seitenweg"
"Page Title","Seitentitel"
"Please enter the page name.","Bitte geben Sie den Seitennamen ein."
"Please enter the page route.","Bitte geben Sie die Seitenroute ein."
"Please enter the page title.","Bitte geben Sie den Seitentitel ein."
"Save Page","Seite speichern"
"Save and Continue Edit","Speichern und Weiter Bearbeiten"
"Scroll","Scrollen"
"Show As Slider","Als Schieberegler anzeigen"
"Show Link On","Link anzeigen"
"Show Navigation","Navigation anzeigen"
"Show Type","Zeige Typ"
"Simple dark","Einfach dunkel"
"Slider Type","Schieberegler"
"Something went wrong while saving the page.","Beim Speichern der Seite ist ein Fehler aufgetreten."
"Status","Status"
"Store View","Geschäftsansicht"
"Stores view","Speichert die Ansicht"
"The page doesnot exist.","Die Seite existiert nicht."
"The page has been saved successfully.","Die Seite wurde erfolgreich gespeichert."
"The url key ","Der URL-Schlüssel "
"To","Zu"
"Top link","Oberster Link"
"Url key","URL-Schlüssel"
"Use Config Settings","Verwenden Sie die Konfigurationseinstellungen"
"Vertical","Vertikal"
"You can custom your all products page route","Sie können Ihre gesamte Produktseitenroute anpassen"
