"%1 star","%1 estrella"
"%1 star to %2 stars","%1 estrellas a %2 estrellas"
"%1 stars","%1 estrellas"
"%1 stars to %2 stars","%1 estrellas a %2 estrellas"
"-- Please select --","- Seleccione -"
"-- Please select attribute --","- Seleccione atributo -"
"Example: .step-title{background-color: #1979c3;}","Ejemplo: .step-title {background-color: # 1979c3;}"
"Add Attribute","Añadir atributo"
"Add New Page","Agregar nueva página"
"All Products Page","Todos los productos"
"Are you sure?","¿Estás seguro?"
"Attribute height","Altura del atributo"
"Attributes","Atributos"
"Block height","Altura del bloque"
"Both","Ambos"
"Cannot delete page with ID %1","No se puede eliminar la página con ID %1"
"Cannot find page to delete.","No se puede encontrar la página para eliminar."
"Category","Categoría"
"Choose attribute display option types.","Elija los tipos de opción de visualización de atributos."
"Custom Css","Css personalizado"
"Custom Products Page Information","Información de página de productos personalizados"
"Custom Products Pages","Páginas de productos personalizados"
"Default","Defecto"
"Default Attributes","Atributos predeterminados"
"Default: 'Products'","Valor predeterminado: 'Productos'"
"Delete","Borrar"
"Delete Page","Eliminar página"
"Delete successfully !","Eliminar con éxito!"
"Design Configuration","Configuración de diseño"
"Display Type","Tipo de visualización"
"Edit","Editar"
"Edit Page ","Editar página "
"Enable Infinite scroll","Habilitar desplazamiento infinito"
"Flat UI","UI plana"
"Footer link","Enlace de pie de página"
"From","De"
"Hidden","Oculto"
"Horizontal","Horizontal"
"Html5","Html5"
"ID","CARNÉ DE IDENTIDAD"
"If yes, products will auto load when scroll down.","En caso afirmativo, los productos se cargarán automáticamente cuando se desplace hacia abajo."
"Link Position","Posición del enlace"
"Link Title","Título del enlace"
"Max height of each attribute in px. Default '200'","Altura máxima de cada atributo en px. Predeterminado '200'"
"Meta Description","Metadescripción"
"Meta Keywords","Meta Palabras clave"
"Meta Title","Meta título"
"Modern","Moderno"
"Name","Nombre"
"New Page","Nueva pagina"
"Nice white","Bonito blanco"
"Normal","Normal"
"Number of option","Numero de opcion"
"Number of options","Numero de opciones"
"Number of options in attribute can be display by default. Default '5'","El número de opciones en el atributo se puede mostrar de forma predeterminada. Predeterminado '5'"
"Options","Opciones"
"Page Information","Información de la página"
"Page Route","Ruta de la página"
"Page Title","Título de la página"
"Please enter the page name.","Por favor ingrese el nombre de la página."
"Please enter the page route.","Por favor ingrese la ruta de la página."
"Please enter the page title.","Por favor ingrese el título de la página."
"Save Page","Guardar página"
"Save and Continue Edit","Guardar y continuar Editar"
"Scroll","Voluta"
"Show As Slider","Mostrar como control deslizante"
"Show Link On","Mostrar enlace en"
"Show Navigation","Mostrar navegación"
"Show Type","Mostrar tipo"
"Simple dark","Simple oscuridad"
"Slider Type","Tipo de control deslizante"
"Something went wrong while saving the page.","Algo salió mal al guardar la página."
"Status","Estado"
"Store View","Vista de la tienda"
"Stores view","Vista de tiendas"
"The page doesnot exist.","La página no existe."
"The page has been saved successfully.","La página se ha guardado con éxito."
"The url key ","La clave de la url "
"To","A"
"Top link","Enlace superior"
"Url key","Clave de URL"
"Use Config Settings","Use la configuración de configuración"
"Vertical","Vertical"
"You can custom your all products page route","Puede personalizar la ruta de su página de todos los productos"
