"%1 star","%1 tähti"
"%1 star to %2 stars","%1 tähti %2 tähteä"
"%1 stars","%1 tähteä"
"%1 stars to %2 stars","%1 tähteä %2 tähteä"
"-- Please select --","-- Ole hyvä ja valitse --"
"-- Please select attribute --","- Valitse attribuutti -"
"Example: .step-title{background-color: #1979c3;}","Esimerkki: .step-title {taustaväri: # 1979c3;}"
"Add Attribute","Lisää ominaisuus"
"Add New Page","Lisää uusi sivu"
"All Products Page","Kaikki tuotteet Sivu"
"Are you sure?","Oletko varma?"
"Attribute height","Attribuutin korkeus"
"Attributes","määritteet"
"Block height","Lohkon korkeus"
"Both","molemmat"
"Cannot delete page with ID %1","Sivua ei voi poistaa tunnuksella %1"
"Cannot find page to delete.","Sivua ei voi poistaa."
"Category","Kategoria"
"Choose attribute display option types.","Valitse attribuutin näyttöasetustyypit."
"Custom Css","Custom Css"
"Custom Products Page Information","Muokatut tuotteet sivutiedot"
"Custom Products Pages","Omat sivut"
"Default","oletusarvo"
"Default Attributes","Oletusominaisuudet"
"Default: 'Products'","Oletus: ""Tuotteet"""
"Delete","Poistaa"
"Delete Page","Poista sivu"
"Delete successfully !","Poista onnistuneesti!"
"Design Configuration","Suunnittelun kokoonpano"
"Display Type","Näytön tyyppi"
"Edit","Muokata"
"Edit Page ","Muokkaa sivua "
"Enable Infinite scroll","Ota käyttöön äärettömän vieritys"
"Flat UI","Flat UI"
"Footer link","Alatunnisteen linkki"
"From","alkaen"
"Hidden","kätketty"
"Horizontal","vaakasuora"
"Html5","HTML5"
"ID","ID"
"If yes, products will auto load when scroll down.","Jos kyllä, tuotteet latautuvat automaattisesti alas."
"Link Position","Linkin sijainti"
"Link Title","Linkin otsikko"
"Max height of each attribute in px. Default '200'","Kunkin attribuutin korkeus korkeudessa px. Oletusarvo '200'"
"Meta Description","Meta-kuvaus"
"Meta Keywords","Meta-avainsanat"
"Meta Title","Meta-otsikko"
"Modern","Moderni"
"Name","Nimi"
"New Page","Uusi sivu"
"Nice white","Hyvä valkoinen"
"Normal","normaali"
"Number of option","Vaihtoehto"
"Number of options","Määrävaihtoehtoja"
"Number of options in attribute can be display by default. Default '5'","Attribuuttien määrä voidaan näyttää oletusarvoisesti. Oletusarvo '5'"
"Options","vaihtoehdot"
"Page Information","Sivutiedot"
"Page Route","Sivureitti"
"Page Title","Sivun otsikko"
"Please enter the page name.","Anna sivun nimi."
"Please enter the page route.","Anna sivun reitti."
"Please enter the page title.","Anna sivun otsikko."
"Save Page","Tallenna sivu"
"Save and Continue Edit","Tallenna ja jatka Muokkaa"
"Scroll","vierittää"
"Show As Slider","Näytä kuin liukusäädin"
"Show Link On","Näytä linkki päälle"
"Show Navigation","Näytä navigointi"
"Show Type","Näytä tyyppi"
"Simple dark","Yksinkertainen pimeä"
"Slider Type","Liukusäätimen tyyppi"
"Something went wrong while saving the page.","Jotain meni vikaan sivun tallentamisessa."
"Status","Status"
"Store View","Tallenna näkymä"
"Stores view","Tallentaa näkymä"
"The page doesnot exist.","Sivua ei ole olemassa."
"The page has been saved successfully.","Sivu on tallennettu onnistuneesti."
"The url key ","Url-avain "
"To","jotta"
"Top link","Top linkki"
"Url key","Url-avain"
"Use Config Settings","Käytä Config Settings -asetuksia"
"Vertical","Pystysuora"
"You can custom your all products page route","Voit mukauttaa kaikkien tuotteiden sivureittiä"
