"%1 star","%1 étoile"
"%1 star to %2 stars","%1 une étoile à %2 stars"
"%1 stars","%1 étoiles"
"%1 stars to %2 stars","%1 voyageurs étoile à %2 étoiles"
"-- Please select --","- Veuillez sélectionner -"
"-- Please select attribute --","- Veuillez sélectionner un attribut -"
"Example: .step-title{background-color: #1979c3;}","Exemple: .step-title {background-color: # 1979c3;}"
"Add Attribute","Ajouter un attribut"
"Add New Page","Ajouter une nouvelle page"
"All Products Page","Tous les produits"
"Are you sure?","Êtes-vous sûr?"
"Attribute height","Hauteur d'attribut"
"Attributes","Les attributs"
"Block height","Hauteur du bloc"
"Both","Tous les deux"
"Cannot delete page with ID %1","Impossible de supprimer la page avec l'ID %1"
"Cannot find page to delete.","Impossible de trouver la page à supprimer."
"Category","Catégorie"
"Choose attribute display option types.","Choisissez les types d'options d'affichage des attributs."
"Custom Css","CSS personnalisé"
"Custom Products Page Information","Informations sur la page des produits personnalisés"
"Custom Products Pages","Pages de produits personnalisés"
"Default","Défaut"
"Default Attributes","Attributs par défaut"
"Default: 'Products'","Par défaut: 'Produits'"
"Delete","Effacer"
"Delete Page","Supprimer la page"
"Delete successfully !","Supprimer avec succès!"
"Design Configuration","Configuration du design"
"Display Type","Type d'affichage"
"Edit","modifier"
"Edit Page ","Modifier la page "
"Enable Infinite scroll","Activer le défilement infini"
"Flat UI","Interface utilisateur plate"
"Footer link","Pied de page"
"From","De"
"Hidden","Caché"
"Horizontal","Horizontal"
"Html5","Html5"
"ID","ID"
"If yes, products will auto load when scroll down.","Si oui, les produits se chargeront automatiquement lors du défilement vers le bas."
"Link Position","Position du lien"
"Link Title","Titre du lien"
"Max height of each attribute in px. Default '200'","Hauteur maximale de chaque attribut en px. Par défaut '200'"
"Meta Description","Meta Description"
"Meta Keywords","Meta Mots-clés"
"Meta Title","Meta Title"
"Modern","Moderne"
"Name","prénom"
"New Page","Nouvelle page"
"Nice white","Beau blanc"
"Normal","Ordinaire"
"Number of option","Numéro d'option"
"Number of options","Nombre d'options"
"Number of options in attribute can be display by default. Default '5'","Le nombre d'options dans l'attribut peut être affiché par défaut. Par défaut '5'"
"Options","Options"
"Page Information","Informations sur la page"
"Page Route","Route de la page"
"Page Title","Titre de la page"
"Please enter the page name.","Veuillez entrer le nom de la page"
"Please enter the page route.","Veuillez entrer l'itinéraire de la page."
"Please enter the page title.","S'il vous plaît entrer le titre de la page."
"Save Page","Sauvegarder la page"
"Save and Continue Edit","Enregistrer et continuer Modifier"
"Scroll","Faire défiler"
"Show As Slider","Afficher en tant que curseur"
"Show Link On","Afficher le lien sur"
"Show Navigation","Afficher la navigation"
"Show Type","Afficher le type"
"Simple dark","Simple sombre"
"Slider Type","Type de curseur"
"Something went wrong while saving the page.","Une erreur s'est produite lors de l'enregistrement de la page."
"Status","Statut"
"Store View","Vue du magasin"
"Stores view","Vue magasins"
"The page doesnot exist.","La page n'existe pas."
"The page has been saved successfully.","La page a été enregistrée avec succès."
"The url key ","La clé de l'URL "
"To","À"
"Top link","Top lien"
"Url key","Clé d'URL"
"Use Config Settings","Utiliser les paramètres de configuration"
"Vertical","Verticale"
"You can custom your all products page route","Vous pouvez personnaliser votre itinéraire de page tous les produits"
