"%1 star","%1 כוכב"
"%1 star to %2 stars","%1 כוכב עד %2 כוכבים"
"%1 stars","%1 כוכבים"
"%1 stars to %2 stars","%1 כוכבים עד %2 כוכבים"
"-- Please select --","-- בבקשה תבחר --"
"-- Please select attribute --","- אנא בחר תכונה -"
"Example: .step-title{background-color: #1979c3;}","דוגמה: .step-title {background-color: # 1979c3;}"
"Add Attribute","הוסף תכונה"
"Add New Page","הוסף דף חדש"
"All Products Page","כל המוצרים"
"Are you sure?","האם אתה בטוח?"
"Attribute height","גובה תכונה"
"Attributes","תכונות"
"Block height","גובה בלוק"
"Both","שניהם"
"Cannot delete page with ID %1","לא ניתן למחוק דף עם מזהה %1"
"Cannot find page to delete.","לא ניתן למצוא את הדף למחיקה."
"Category","קטגוריה"
"Choose attribute display option types.","בחר סוגי אפשרויות לתצוגה של תכונות."
"Custom Css","CSS מותאם אישית"
"Custom Products Page Information","מידע על מוצרים מותאמים אישית"
"Custom Products Pages","דפי מוצרים מותאמים אישית"
"Default","בְּרִירַת מֶחדָל"
"Default Attributes","תכונות ברירת מחדל"
"Default: 'Products'","ברירת מחדל: 'מוצרים'"
"Delete","לִמְחוֹק"
"Delete Page","מחק את הדף"
"Delete successfully !","מחק בהצלחה!"
"Design Configuration","תצורת עיצוב"
"Display Type","סוג תצוגה"
"Edit","לַעֲרוֹך"
"Edit Page ","ערוך דף "
"Enable Infinite scroll","הפעל גלילה אינסופית"
"Flat UI","ממשק משתמש שטוח"
"Footer link","תחתונה הקישור"
"From","מ"
"Hidden","מוּסתָר"
"Horizontal","אופקי"
"Html5","HTML5"
"ID","תְעוּדַת זֶהוּת"
"If yes, products will auto load when scroll down.","אם כן, מוצרים יטענו אוטומטית בעת גלילה כלפי מטה."
"Link Position","מיקום הקישור"
"Link Title","כותרת הקישור"
"Max height of each attribute in px. Default '200'","גובה מרבי של כל תכונה ב- px. ברירת מחדל '200'"
"Meta Description","תיאור מטא"
"Meta Keywords","מילות מפתח מטא"
"Meta Title","כותרת מטא"
"Modern","מוֹדֶרנִי"
"Name","שֵׁם"
"New Page","עמוד חדש"
"Nice white","לבן נחמד"
"Normal","נוֹרמָלִי"
"Number of option","מספר אופציות"
"Number of options","מספר האפשרויות"
"Number of options in attribute can be display by default. Default '5'","מספר האפשרויות במאפיין יכול להיות מוצג כברירת מחדל. ברירת מחדל '5'"
"Options","אפשרויות"
"Page Information","מידע על הדף"
"Page Route","נתיב הדף"
"Page Title","כותרת העמוד"
"Please enter the page name.","הזן את שם הדף."
"Please enter the page route.","הזן את נתיב הדף."
"Please enter the page title.","הזן את כותרת הדף."
"Save Page","שמור דף"
"Save and Continue Edit","שמור והמשך עריכה"
"Scroll","גְלִילָה"
"Show As Slider","הצג כ- Slider"
"Show Link On","הצג קישור ב"
"Show Navigation","הראה ניווט"
"Show Type","הצג סוג"
"Simple dark","פשוט כהה"
"Slider Type","סוג מחוון"
"Something went wrong while saving the page.","משהו השתבש בעת שמירת הדף."
"Status","סטָטוּס"
"Store View","תצוגת חנות"
"Stores view","תצוגת חנויות"
"The page doesnot exist.","הדף אינו קיים."
"The page has been saved successfully.","הדף נשמר בהצלחה."
"The url key ","מפתח ה- url "
"To","ל"
"Top link","קישור עליון"
"Url key","מפתח url"
"Use Config Settings","השתמש בהגדרות תצורה"
"Vertical","אֲנָכִי"
"You can custom your all products page route","אתה יכול להתאים אישית את כל המוצרים שלך"
