"%1 star","%1 csillag"
"%1 star to %2 stars","%1 csillag %2 csillag"
"%1 stars","%1 csillag"
"%1 stars to %2 stars","%1 csillag %2 csillaggal"
"-- Please select --","-- Kérlek, válassz --"
"-- Please select attribute --","- Kérjük, válasszon attribútumot -"
"Example: .step-title{background-color: #1979c3;}","Példa: .step-title {háttérszín: # 1979c3;}"
"Add Attribute","Attribútum hozzáadása"
"Add New Page","Új oldal hozzáadása"
"All Products Page","Minden termék oldal"
"Are you sure?","biztos vagy ebben?"
"Attribute height","Attribútum magasság"
"Attributes","attribútumok"
"Block height","Blokkos magasság"
"Both","Mindkét"
"Cannot delete page with ID %1","Nem lehet törölni az %1-es azonosítót"
"Cannot find page to delete.","Nem található a törölni kívánt oldal."
"Category","Kategória"
"Choose attribute display option types.","Válassza az attribútum megjelenítési opció típusát."
"Custom Css","Egyéni Css"
"Custom Products Page Information","Egyedi termékek oldal információi"
"Custom Products Pages","Egyedi termékek oldalak"
"Default","Alapértelmezett"
"Default Attributes","Alapértelmezett attribútumok"
"Default: 'Products'","Alapértelmezés: ""Termékek"""
"Delete","Töröl"
"Delete Page","Oldal törlése"
"Delete successfully !","Törölje sikeresen!"
"Design Configuration","Tervezési konfiguráció"
"Display Type","Kijelző típusa"
"Edit","szerkesztése"
"Edit Page ","Oldal szerkesztése "
"Enable Infinite scroll","Engedélyezze az Infinite görgetést"
"Flat UI","Lapos felhasználói felület"
"Footer link","Lábléc link"
"From","Tól től"
"Hidden","Rejtett"
"Horizontal","Vízszintes"
"Html5","HTML5"
"ID","ID"
"If yes, products will auto load when scroll down.","Ha igen, a termékek automatikusan betöltődnek lefelé."
"Link Position","Link pozíció"
"Link Title","Link címe"
"Max height of each attribute in px. Default '200'","Az egyes attribútumok maximális magassága px-ban. Alapértelmezett ""200"""
"Meta Description","Meta leírás"
"Meta Keywords","meta kulcsszavak"
"Meta Title","Meta cím"
"Modern","Modern"
"Name","Név"
"New Page","Új oldal"
"Nice white","Szép fehér"
"Normal","Normál"
"Number of option","Opció száma"
"Number of options","Opciók száma"
"Number of options in attribute can be display by default. Default '5'","Alapértelmezés szerint megjeleníthető a tulajdonságok száma. Alapértelmezett ""5"""
"Options","Lehetőségek"
"Page Information","Oldal információ"
"Page Route","Oldalút"
"Page Title","Lap cím"
"Please enter the page name.","Kérjük, adja meg az oldal nevét."
"Please enter the page route.","Kérjük, adja meg az oldal útvonalát."
"Please enter the page title.","Kérjük, adja meg az oldal címét."
"Save Page","Mentés oldal"
"Save and Continue Edit","Mentés és Folytatás Szerkesztés"
"Scroll","Tekercs"
"Show As Slider","Show As Sliderként"
"Show Link On","Link megjelenítése"
"Show Navigation","Mutasd a navigációt"
"Show Type","Típus megjelenítése"
"Simple dark","Egyszerű sötétség"
"Slider Type","Csúsztatípus"
"Something went wrong while saving the page.","Valami hiba történt az oldal mentése közben."
"Status","Állapot"
"Store View","Tárolja a nézetet"
"Stores view","Üzletnézet"
"The page doesnot exist.","Az oldal nem létezik."
"The page has been saved successfully.","Az oldal sikeresen el lett mentve."
"The url key ","Az url kulcs "
"To","Nak nek"
"Top link","Top link"
"Url key","Url kulcs"
"Use Config Settings","A konfigurációs beállítások használata"
"Vertical","Függőleges"
"You can custom your all products page route","Az összes termékoldal útvonalat személyre szabhatja"
