"%1 star","%1 bintang"
"%1 star to %2 stars","%1 bintang untuk %2 bintang"
"%1 stars","%1 bintang"
"%1 stars to %2 stars","%1 bintang untuk %2 bintang"
"-- Please select --","-- Silahkan pilih --"
"-- Please select attribute --","-- Silahkan pilih atribut --"
"Example: .step-title{background-color: #1979c3;}","Contoh: .langkah-title{background-color: #1979c3;}"
"Add Attribute","Tambahkan Atribut"
"Add New Page","Menambahkan Halaman Baru"
"All Products Page","Semua Halaman Produk"
"Are you sure?","Apakah anda yakin?"
"Attribute height","Atribut tinggi"
"Attributes","Atribut produk"
"Block height","Blok tinggi"
"Both","Kedua"
"Cannot delete page with ID %1","Tidak dapat menghapus halaman dengan ID %1"
"Cannot find page to delete.","Tidak dapat menemukan halaman untuk dihapus."
"Category","Kategori"
"Choose attribute display option types.","Memilih atribut tampilan pilihan jenis."
"Custom Css","Kustom Css"
"Custom Products Page Information","Produk Kustom Halaman Informasi"
"Custom Products Pages","Produk Kustom Halaman"
"Default","Kegagalan"
"Default Attributes","Atribut produk"
"Default: 'Products'","Default: 'produk'"
"Delete","Hapus"
"Delete Page","Hapus Halaman"
"Delete successfully !","Menghapus dengan sukses !"
"Design Configuration","Desain Konfigurasi"
"Display Type","Jenis Tampilan"
"Edit","Ubah"
"Edit Page ","Ubah Halaman "
"Enable Infinite scroll","Aktifkan Gulir Tak Terbatas"
"Flat UI","UI Datar"
"Footer link","Link footer"
"From","Dari"
"Hidden","Tersembunyi"
"Horizontal","Horizontal"
"Html5","Html5"
"ID","ID"
"If yes, products will auto load when scroll down.","Jika ya, produk akan otomatis dimuat ketika gulir ke bawah."
"Link Position","Posisi Link"
"Link Title","Judul Link"
"Max height of each attribute in px. Default '200'","Ketinggian maksimum dari masing-masing atribut di px. Default '200'"
"Meta Description","Meta Deskripsi"
"Meta Keywords","Kata kunci Meta"
"Meta Title","Meta Judul"
"Modern","Moderen"
"Name","Nama"
"New Page","Halaman Baru"
"Nice white","Bagus putih"
"Normal","Normal"
"Number of option","Jumlah pilihan"
"Number of options","Jumlah pilihan"
"Number of options in attribute can be display by default. Default '5'","Jumlah pilihan dalam atribut dapat ditampilkan secara default. Default '5'"
"Options","Pilihan"
"Page Information","Informasi Halaman"
"Page Route","Rute Halaman"
"Page Title","Judul Halaman"
"Please enter the page name.","Silahkan masukkan nama halaman."
"Please enter the page route.","Silahkan masuk ke halaman rute."
"Please enter the page title.","Harap masukkan judul halaman."
"Save Page","Simpan Halaman"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Scroll","Gulir"
"Show As Slider","Menunjukkan Sebagai Slider"
"Show Link On","Tampilkan Di Link"
"Show Navigation","Tampilkan Navigasi"
"Show Type","Tampilkan Tipe"
"Simple dark","Sederhana gelap"
"Slider Type","Judul Slider"
"Something went wrong while saving the page.","Sesuatu yang tidak beres saat menyimpan halaman."
"Status","Status"
"Store View","Tampilan Toko"
"Stores view","Tampilan Toko"
"The page doesnot exist.","Halaman tidak ada."
"The page has been saved successfully.","Halaman telah berhasil disimpan."
"The url key ","Tombol url "
"To","Ke"
"Top link","Link Teratas"
"Url key","Kunci Url"
"Use Config Settings","Gunakan Pengaturan Konfigurasi"
"Vertical","Vertikal"
"You can custom your all products page route","Anda dapat menyesuaikan semua rute halaman produk anda"
