"%1 star","%1 stella"
"%1 star to %2 stars","%1 stella a %2 stelle"
"%1 stars","%1 stelle"
"%1 stars to %2 stars","%1 stelle a %2 stelle"
"-- Please select --","-- Seleziona --"
"-- Please select attribute --","-- Selezionare attributo --"
"Example: .step-title{background-color: #1979c3;}","Esempio: .step-title{background-color: #1979c3;}"
"Add Attribute","Aggiungi attributo"
"Add New Page","Aggiungi nuova pagina"
"All Products Page","Tutti i prodotti della pagina"
"Are you sure?","Sei sicuro?"
"Attribute height","Altezza attributo"
"Attributes","Attributi"
"Block height","Altezza blocco"
"Both","Entrambi"
"Cannot delete page with ID %1","Non è possibili cancellare la paggina con ID %1"
"Cannot find page to delete.","Non è possibile trovare la paggina da cancellare."
"Category","Categoria"
"Choose attribute display option types.","Scegliere i tipi di opzione di visualizzazione dell'attributo."
"Custom Css","Personalizza Css"
"Custom Products Page Information","Informazioni sulla pagina dei prodotti personalizzati"
"Custom Products Pages","Pagine prodotti personalizzati"
"Default","Predefinito"
"Default Attributes","Attributi predefiniti"
"Default: 'Products'","'Prodotti': Predefiniti"
"Delete","Cancella"
"Delete Page","Cancella pagina"
"Delete successfully !","Cancellato con successo!"
"Design Configuration","Configurazione del design"
"Display Type","Visualizza Tipo"
"Edit","Modifica"
"Edit Page ","Modifica pagina "
"Enable Infinite scroll","Abilita scorrimento illimitato"
"Flat UI","Interfaccia utente piatta"
"Footer link","Link a piè di pagina"
"From","Da"
"Hidden","Nascosto"
"Horizontal","Orizontale"
"Html5","Html5"
"ID","ID"
"If yes, products will auto load when scroll down.","Se si, il prodotto si caricherà automaticamente quando si scorre verso il basso."
"Link Position","Posizione collegamento"
"Link Title","Titolo del collegamento"
"Max height of each attribute in px. Default '200'","Altezza massima di ogni ottributi in px. Predefinito '200'"
"Meta Description","Meta descrizione"
"Meta Keywords","Meta parole chiave"
"Meta Title","Meta titolo"
"Modern","Moderno"
"Name","Nome"
"New Page","Nuova pagina"
"Nice white","Bianco carino"
"Normal","Normale"
"Number of option","Numero di opzione"
"Number of options","Numero di opzioni"
"Number of options in attribute can be display by default. Default '5'","Numero di opzioni nell'attributo che possono essere visualizzate da predefinito. Predefinito '5'"
"Options","Opzioni"
"Page Information","Informazioni pagina"
"Page Route","Percorso pagina"
"Page Title","Titolo pagina"
"Please enter the page name.","Si prega di inserire il nome della pagina."
"Please enter the page route.","Si prega di inserire il percorso della pagina."
"Please enter the page title.","Si prega di inserire il titolo della pagina."
"Save Page","Salva pagina"
"Save and Continue Edit","Salva e continua a modificare"
"Scroll","Scorri"
"Show As Slider","Mostra come Slider"
"Show Link On","Mostra collegamento attivo"
"Show Navigation","Mostra navigazione"
"Show Type","Mostra tipo"
"Simple dark","Semplice scuro"
"Slider Type","Tipo di Slider"
"Something went wrong while saving the page.","Qualcosa è andato storto durante il salvataggio della pagina."
"Status","Stato"
"Store View","Vista negozio"
"Stores view","Vista negozi"
"The page doesnot exist.","La pagina non esiste."
"The page has been saved successfully.","La pagina è stata salvata con successo."
"The url key ","La chiave dell'Url "
"To","A"
"Top link","Link in testa"
"Url key","Chiave Url"
"Use Config Settings","Usa le impostazioni di configurazione"
"Vertical","Verticale"
"You can custom your all products page route","È possibile personalizzare il percorso di tutte le pagine dei prodotti"
