"%1 star","%1 star"
"%1 star to %2 stars","%1 星から %2 までの星"
"%1 stars","%1 stars"
"%1 stars to %2 stars","%1 stars to %2 stars"
"-- Please select --","-  選んでください  -"
"-- Please select attribute --","- 属性を選択してください -"
"Example: .step-title{background-color: #1979c3;}","例：.step-title {背景色：＃1979c3;}"
"Add Attribute","属性を追加する"
"Add New Page","新しいページを追加"
"All Products Page","すべての製品ページ"
"Are you sure?","本気ですか？"
"Attribute height","属性の高さ"
"Attributes","属性"
"Block height","ブロックの高さ"
"Both","どちらも"
"Cannot delete page with ID %1","IDが %1のページは削除できません"
"Cannot find page to delete.","削除するページが見つかりません。"
"Category","カテゴリー"
"Choose attribute display option types.","属性表示オプションの種類を選択します。"
"Custom Css","カスタムCSS"
"Custom Products Page Information","カスタム商品ページ情報"
"Custom Products Pages","カスタム製品ページ"
"Default","デフォルト"
"Default Attributes","デフォルトの属性"
"Default: 'Products'","デフォルト： 'Products'"
"Delete","削除"
"Delete Page","ページを削除"
"Delete successfully !","削除は成功です！"
"Design Configuration","設計構成"
"Display Type","画面タイプ"
"Edit","編集"
"Edit Page ","ページの編集 "
"Enable Infinite scroll","無限スクロールを有効にする"
"Flat UI","フラットUI"
"Footer link","フッターリンク"
"From","から"
"Hidden","隠された"
"Horizontal","水平"
"Html5","Html5"
"ID","ID"
"If yes, products will auto load when scroll down.","はいの場合、下にスクロールすると商品が自動的に読み込まれます。"
"Link Position","リンクの位置"
"Link Title","リンクのタイトル"
"Max height of each attribute in px. Default '200'","pxの各属性の最大高さ。デフォルト '200'"
"Meta Description","メタ記述"
"Meta Keywords","メタキーワード"
"Meta Title","メタタイトル"
"Modern","現代"
"Name","名"
"New Page","新しいページ"
"Nice white","ニースホワイト"
"Normal","ノーマル"
"Number of option","オプション数"
"Number of options","オプションの数"
"Number of options in attribute can be display by default. Default '5'","属性のオプションの数は、デフォルトで表示できます。デフォルト '5'"
"Options","オプション"
"Page Information","ページ情報"
"Page Route","ページルート"
"Page Title","ページタイトル"
"Please enter the page name.","ページ名を入力してください。"
"Please enter the page route.","ページルートを入力してください。"
"Please enter the page title.","ページのタイトルを入力してください。"
"Save Page","ページを保存"
"Save and Continue Edit","保存して編集を継続"
"Scroll","スクロール"
"Show As Slider","スライダとして表示"
"Show Link On","リンクを表示する"
"Show Navigation","ナビゲーションを表示"
"Show Type","ショータイプ"
"Simple dark","シンプルダーク"
"Slider Type","スライダタイプ"
"Something went wrong while saving the page.","ページの保存中に問題が発生しました。"
"Status","状態"
"Store View","店舗ビュー"
"Stores view","店舗ビュー"
"The page doesnot exist.","ページが存在しません。"
"The page has been saved successfully.","ページが正常に保存されました。"
"The url key ","URLキー "
"To","に"
"Top link","トップリンク"
"Url key","Urlキー"
"Use Config Settings","設定の使用"
"Vertical","垂直"
"You can custom your all products page route","すべての商品ページルートをカスタム設定することができます"
