"%1 star","%1 ster"
"%1 star to %2 stars","%1 sterren naar %2 sterren"
"%1 stars","%1 sterren"
"%1 stars to %2 stars","%1 sterren naar %2 sterren"
"-- Please select --","-- Selecteer alstublieft --"
"-- Please select attribute --","- Selecteer attribuut -"
"Example: .step-title{background-color: #1979c3;}","Voorbeeld: .step-title {background-color: # 1979c3;}"
"Add Attribute","Attribuut toevoegen"
"Add New Page","Nieuwe pagina toevoegen"
"All Products Page","Alle productenpagina"
"Are you sure?","Weet je het zeker?"
"Attribute height","Attribuuthoogte"
"Attributes","attributen"
"Block height","Blok hoogte"
"Both","Beide"
"Cannot delete page with ID %1","Kan pagina met ID %1 niet verwijderen"
"Cannot find page to delete.","Kan pagina niet vinden om te verwijderen."
"Category","Categorie"
"Choose attribute display option types.","Kies optievelden voor weergaveopties."
"Custom Css","Aangepaste CSS"
"Custom Products Page Information","Aangepaste producten Pagina-informatie"
"Custom Products Pages","Aangepaste productenpagina's"
"Default","Standaard"
"Default Attributes","Standaardattributen"
"Default: 'Products'","Standaard: 'Producten'"
"Delete","Verwijder"
"Delete Page","Pagina verwijderen"
"Delete successfully !","Wis succesvol!"
"Design Configuration","Ontwerpconfiguratie"
"Display Type","Weergavetype"
"Edit","Bewerk"
"Edit Page ","Pagina bewerken "
"Enable Infinite scroll","Schakel oneindige scrollen in"
"Flat UI","Platte gebruikersinterface"
"Footer link","Voettekst-link"
"From","Van"
"Hidden","Verborgen"
"Horizontal","Horizontaal"
"Html5","html5"
"ID","ID kaart"
"If yes, products will auto load when scroll down.","Zo ja, dan worden producten automatisch geladen wanneer naar beneden scrolt."
"Link Position","Link positie"
"Link Title","Link titel"
"Max height of each attribute in px. Default '200'","Max. Hoogte van elk attribuut in px. Standaard '200'"
"Meta Description","Meta omschrijving"
"Meta Keywords","Meta-trefwoorden"
"Meta Title","Meta titel"
"Modern","Modern"
"Name","Naam"
"New Page","Nieuwe pagina"
"Nice white","Mooi wit"
"Normal","normaal"
"Number of option","Aantal optie"
"Number of options","Aantal opties"
"Number of options in attribute can be display by default. Default '5'","Het aantal opties in het attribuut kan standaard worden weergegeven. Standaard '5'"
"Options","opties"
"Page Information","Pagina-informatie"
"Page Route","Paginaroute"
"Page Title","Pagina titel"
"Please enter the page name.","Voer de paginanaam in."
"Please enter the page route.","Voer de paginaroute in."
"Please enter the page title.","Voer de paginatitel in."
"Save Page","Sla pagina op"
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Scroll","Rol"
"Show As Slider","Show As Slider"
"Show Link On","Link weergeven"
"Show Navigation","Toon navigatie"
"Show Type","Type tonen"
"Simple dark","Eenvoudig donker"
"Slider Type","Schuif Type"
"Something went wrong while saving the page.","Er is iets misgegaan tijdens het opslaan van de pagina."
"Status","staat"
"Store View","Winkelweergave"
"Stores view","Slaat weergave op"
"The page doesnot exist.","De pagina bestaat niet."
"The page has been saved successfully.","De pagina is succesvol opgeslagen."
"The url key ","De URL-sleutel "
"To","Naar"
"Top link","Top link"
"Url key","URL-sleutel"
"Use Config Settings","Gebruik Config-instellingen"
"Vertical","Verticaal"
"You can custom your all products page route","U kunt uw route met alle producten op maat aanpassen"
