"%1 star","%1 star"
"%1 star to %2 stars","%1 stjerne til %2 stjerner"
"%1 stars","%1 stjerner"
"%1 stars to %2 stars","%1 stjerner til %2 stjerner"
"-- Please select --","-- Vennligst velg --"
"-- Please select attribute --","- Vennligst velg attributt -"
"Example: .step-title{background-color: #1979c3;}","Eksempel: .step-title {bakgrunnsfarge: # 1979c3;}"
"Add Attribute","Legg til attributt"
"Add New Page","Legg til ny side"
"All Products Page","Alle produkter side"
"Are you sure?","Er du sikker?"
"Attribute height","Egenskapshøyde"
"Attributes","Attributter"
"Block height","Blokkhøyde"
"Both","Både"
"Cannot delete page with ID %1","Kan ikke slette siden med ID %1"
"Cannot find page to delete.","Kan ikke finne siden som skal slettes."
"Category","Kategori"
"Choose attribute display option types.","Velg attributter for visningsalternativer."
"Custom Css","Tilpasset Css"
"Custom Products Page Information","Tilpasset produktsideinformasjon"
"Custom Products Pages","Tilpassede produktsider"
"Default","Misligholde"
"Default Attributes","Standardegenskaper"
"Default: 'Products'","Standard: 'Produkter'"
"Delete","Slett"
"Delete Page","Slett side"
"Delete successfully !","Slett vellykket!"
"Design Configuration","Designkonfigurasjon"
"Display Type","Skjermtype"
"Edit","Redigere"
"Edit Page ","Rediger side "
"Enable Infinite scroll","Aktiver uendelig rulling"
"Flat UI","Flat UI"
"Footer link","Footer link"
"From","Fra"
"Hidden","skjult"
"Horizontal","Horisontal"
"Html5","HTML5"
"ID","ID"
"If yes, products will auto load when scroll down.","Hvis ja, vil produktene lastes automatisk når du ruller ned."
"Link Position","Link posisjon"
"Link Title","Link Tittel"
"Max height of each attribute in px. Default '200'","Maksimal høyde for hvert attributt i px. Standard '200'"
"Meta Description","Meta Beskrivelse"
"Meta Keywords","Meta Nøkkelord"
"Meta Title","Metatittel"
"Modern","Moderne"
"Name","Navn"
"New Page","Ny side"
"Nice white","Fin hvit"
"Normal","Normal"
"Number of option","Antall valg"
"Number of options","Antall alternativer"
"Number of options in attribute can be display by default. Default '5'","Antall alternativer i attributt kan som standard vises. Standard '5'"
"Options","alternativer"
"Page Information","Sideinformasjon"
"Page Route","Sidenrute"
"Page Title","Side tittel"
"Please enter the page name.","Vennligst skriv inn sidens navn."
"Please enter the page route.","Vennligst skriv inn sidelinjen."
"Please enter the page title.","Vennligst skriv inn sidetittelen."
"Save Page","Lagre side"
"Save and Continue Edit","Lagre og fortsett Rediger"
"Scroll","Rull"
"Show As Slider","Vis som skyveknapp"
"Show Link On","Vis kobling på"
"Show Navigation","Vis navigasjon"
"Show Type","Vis type"
"Simple dark","Enkel mørk"
"Slider Type","Slider Type"
"Something went wrong while saving the page.","Noe gikk galt under lagring av siden."
"Status","Status"
"Store View","Lagre visning"
"Stores view","Lagrer visning"
"The page doesnot exist.","Siden eksisterer ikke."
"The page has been saved successfully.","Siden har blitt lagret."
"The url key ","Url-nøkkelen "
"To","Til"
"Top link","Topplenke"
"Url key","Url-nøkkel"
"Use Config Settings","Bruk Config Settings"
"Vertical","vertikal"
"You can custom your all products page route","Du kan tilpasse hele produktsiden din rute"
