"%1 star","%1 gwiazdka"
"%1 star to %2 stars","%1 gwiazd do %2 gwiazd"
"%1 stars","%1 gwiazd"
"%1 stars to %2 stars","%1 gwiazd do %2 gwiazd"
"-- Please select --","-- Proszę wybrać --"
"-- Please select attribute --","- Wybierz atrybut -"
"Example: .step-title{background-color: #1979c3;}","Przykład: .step-title {background-color: # 1979c3;}"
"Add Attribute","Dodaj atrybut"
"Add New Page","Dodaj nową stronę"
"All Products Page","Wszystkie produkty Strona"
"Are you sure?","Jesteś pewny?"
"Attribute height","Wysokość atrybutu"
"Attributes","Atrybuty"
"Block height","Wysokość bloku"
"Both","Obie"
"Cannot delete page with ID %1","Nie można usunąć strony o identyfikatorze %1"
"Cannot find page to delete.","Nie można znaleźć strony do usunięcia."
"Category","Kategoria"
"Choose attribute display option types.","Wybierz typy opcji wyświetlania atrybutów."
"Custom Css","Niestandardowe CSS"
"Custom Products Page Information","Informacje o stronie produktów niestandardowych"
"Custom Products Pages","Niestandardowe strony produktów"
"Default","Domyślna"
"Default Attributes","Domyślne atrybuty"
"Default: 'Products'","Domyślnie: ""Produkty"""
"Delete","Kasować"
"Delete Page","Usuń stronę"
"Delete successfully !","Usuń pomyślnie!"
"Design Configuration","Konfiguracja projektu"
"Display Type","Typ wyświetlania"
"Edit","Edytować"
"Edit Page ","Edytuj stronę "
"Enable Infinite scroll","Włącz Nieskończone przewijanie"
"Flat UI","Płaski interfejs użytkownika"
"Footer link","Link stopki"
"From","Od"
"Hidden","Ukryty"
"Horizontal","Poziomy"
"Html5","Html5"
"ID","ID"
"If yes, products will auto load when scroll down.","Jeśli tak, produkty będą automatycznie ładowane po przewinięciu."
"Link Position","Pozycja łącza"
"Link Title","Tytuł linku"
"Max height of each attribute in px. Default '200'","Maksymalna wysokość każdego atrybutu w px. Domyślne ""200"""
"Meta Description","Opis Meta"
"Meta Keywords","Meta Słowa kluczowe"
"Meta Title","Tytuł Meta"
"Modern","Nowoczesny"
"Name","Nazwa"
"New Page","Nowa strona"
"Nice white","Ładnie biały"
"Normal","Normalna"
"Number of option","Liczba opcji"
"Number of options","Liczba opcji"
"Number of options in attribute can be display by default. Default '5'","Liczba opcji w atrybucie może być wyświetlana domyślnie. Domyślne ""5"""
"Options","Opcje"
"Page Information","Informacje o stronie"
"Page Route","Trasa strony"
"Page Title","Tytuł strony"
"Please enter the page name.","Wprowadź nazwę strony."
"Please enter the page route.","Wprowadź trasę strony."
"Please enter the page title.","Proszę podać tytuł strony."
"Save Page","Zapisz stronę"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Scroll","Zwój"
"Show As Slider","Pokaż jako suwak"
"Show Link On","Pokaż łącze"
"Show Navigation","Pokaż nawigację"
"Show Type","Pokaż typ"
"Simple dark","Prosta ciemność"
"Slider Type","Typ suwaka"
"Something went wrong while saving the page.","Coś poszło nie tak podczas zapisywania strony."
"Status","Status"
"Store View","Widok sklepu"
"Stores view","Przechowuje widok"
"The page doesnot exist.","Strona nie istnieje."
"The page has been saved successfully.","Strona została zapisana pomyślnie."
"The url key ","Klawisz adresu URL "
"To","Do"
"Top link","Top link"
"Url key","Klucz URL"
"Use Config Settings","Użyj ustawień konfiguracji"
"Vertical","Pionowy"
"You can custom your all products page route","Możesz dostosować trasę wszystkich produktów"
