"%1 star","%1 estrela"
"%1 star to %2 stars","%1 estrela para %2 estrelas"
"%1 stars","%1 estrelas"
"%1 stars to %2 stars","%1 estrelas para %2 estrelas"
"-- Please select --","-- Por favor selecione --"
"-- Please select attribute --","- Selecione o atributo -"
"Example: .step-title{background-color: #1979c3;}","Exemplo: .step-title {background-color: # 1979c3;}"
"Add Attribute","Adicionar Atributo"
"Add New Page","Adicionar nova página"
"All Products Page","Página de Todos os Produtos"
"Are you sure?","Você tem certeza?"
"Attribute height","Altura do atributo"
"Attributes","Atributos"
"Block height","Altura do bloco"
"Both","Ambos"
"Cannot delete page with ID %1","Não é possível excluir a página com ID %1"
"Cannot find page to delete.","Não é possível encontrar a página a ser excluída."
"Category","Categoria"
"Choose attribute display option types.","Escolha tipos de opções de exibição de atributos."
"Custom Css","CSS customizado"
"Custom Products Page Information","Informação personalizada da página de produtos"
"Custom Products Pages","Páginas de produtos personalizados"
"Default","Padrão"
"Default Attributes","Atributos padrão"
"Default: 'Products'","Padrão: 'Produtos'"
"Delete","Excluir"
"Delete Page","Página de exclusão"
"Delete successfully !","Exclua com sucesso!"
"Design Configuration","Configuração do projeto"
"Display Type","Tipo de exibição"
"Edit","Editar"
"Edit Page ","Editar Página "
"Enable Infinite scroll","Ativar rolagem infinito"
"Flat UI","UI plana"
"Footer link","Link de rodapé"
"From","A partir de"
"Hidden","Escondido"
"Horizontal","Horizontal"
"Html5","Html5"
"ID","identidade"
"If yes, products will auto load when scroll down.","Se sim, os produtos serão carregados automaticamente quando deslizar para baixo."
"Link Position","Posição do link"
"Link Title","Título do link"
"Max height of each attribute in px. Default '200'","Altura máxima de cada atributo em px. Padrão '200'"
"Meta Description","Meta Descrição"
"Meta Keywords","Meta Palavras-chave"
"Meta Title","Meta Title"
"Modern","Moderno"
"Name","Nome"
"New Page","Nova página"
"Nice white","Bom branco"
"Normal","Normal"
"Number of option","Número de opção"
"Number of options","Número de opções"
"Number of options in attribute can be display by default. Default '5'","O número de opções no atributo pode ser exibido por padrão. Padrão '5'"
"Options","Opções"
"Page Information","Informação da Página"
"Page Route","Rota da página"
"Page Title","Título da página"
"Please enter the page name.","Digite o nome da página."
"Please enter the page route.","Digite a rota da página."
"Please enter the page title.","Digite o título da página."
"Save Page","Salvar pagina"
"Save and Continue Edit","Salvar e continuar Editar"
"Scroll","Rolagem"
"Show As Slider","Mostrar como controle deslizante"
"Show Link On","Mostrar link em"
"Show Navigation","Mostrar navegação"
"Show Type","Mostrar Tipo"
"Simple dark","Escuro simples"
"Slider Type","Tipo de controle deslizante"
"Something went wrong while saving the page.","Algo deu errado ao salvar a página."
"Status","Status"
"Store View","Visualização da loja"
"Stores view","Vista de lojas"
"The page doesnot exist.","A página não existe."
"The page has been saved successfully.","A página foi salva com sucesso."
"The url key ","A chave do url "
"To","Para"
"Top link","Top link"
"Url key","Chave de URL"
"Use Config Settings","Usar Configurações de Configuração"
"Vertical","Vertical"
"You can custom your all products page route","Você pode customizar sua rota de página de todos os produtos"
