"%1 star","%1 stea"
"%1 star to %2 stars","%1 stea la %2 stele"
"%1 stars","%1 de stele"
"%1 stars to %2 stars","%1 stele la %2 stele"
"-- Please select --","-- Te rog selecteaza --"
"-- Please select attribute --","- Selectați atributul -"
"Example: .step-title{background-color: #1979c3;}","Exemplu: .step-title {background-color: # 1979c3;}"
"Add Attribute","Adăugați un atribut"
"Add New Page","Adăugați o pagină nouă"
"All Products Page","Toate produsele Pagina"
"Are you sure?","Esti sigur?"
"Attribute height","Valoarea atributului"
"Attributes","Atribute"
"Block height","Inaltimea blocului"
"Both","Ambele"
"Cannot delete page with ID %1","Nu se poate șterge pagina cu ID %1"
"Cannot find page to delete.","Nu se poate găsi pagina pentru a fi șters."
"Category","Categorie"
"Choose attribute display option types.","Alegeți tipurile de opțiuni pentru afișarea atributelor."
"Custom Css","CSS personalizat"
"Custom Products Page Information","Informații despre paginile personalizate ale produselor"
"Custom Products Pages","Pagini personalizate de produse"
"Default","Mod implicit"
"Default Attributes","Atribute prestabilite"
"Default: 'Products'","Implicit: ""Produse"""
"Delete","Șterge"
"Delete Page","Ștergeți pagina"
"Delete successfully !","Ștergeți cu succes!"
"Design Configuration","Design Configuration"
"Display Type","Tipul de afișare"
"Edit","Editați | ×"
"Edit Page ","Pagina de editare "
"Enable Infinite scroll","Activați parcurgerea infinită"
"Flat UI","Interfata UI"
"Footer link","Footer link"
"From","Din"
"Hidden","Ascuns"
"Horizontal","Orizontală"
"Html5","Html5"
"ID","ID-ul"
"If yes, products will auto load when scroll down.","Dacă da, produsele se vor încărca automat când derulați în jos."
"Link Position","Poziția legăturii"
"Link Title","Titlul legăturii"
"Max height of each attribute in px. Default '200'","Înălțimea maximă a fiecărui atribut în px. Implicit '200'"
"Meta Description","Meta Descriere"
"Meta Keywords","Cuvinte cheie meta"
"Meta Title","Titlul Meta"
"Modern","Modern"
"Name","Nume"
"New Page","Pagina noua"
"Nice white","Nisip alb"
"Normal","Normal"
"Number of option","Numărul de opțiuni"
"Number of options","Număr de opțiuni"
"Number of options in attribute can be display by default. Default '5'","Numărul de opțiuni din atribut poate fi afișat în mod implicit. Implicit '5'"
"Options","Opțiuni"
"Page Information","Informații despre pagină"
"Page Route","Traseul paginii"
"Page Title","Titlul paginii"
"Please enter the page name.","Introduceți numele paginii."
"Please enter the page route.","Introduceți ruta paginii."
"Please enter the page title.","Introduceți titlul paginii."
"Save Page","Salvează pagina"
"Save and Continue Edit","Salvați și continuați editarea"
"Scroll","Sul"
"Show As Slider","Afișați ca cursor"
"Show Link On","Afișați linkul conectat"
"Show Navigation","Afișați navigația"
"Show Type","Afișați tipul"
"Simple dark","Simplu întuneric"
"Slider Type","Tip glisant"
"Something went wrong while saving the page.","Sa întâmplat ceva în timpul salvării paginii."
"Status","stare"
"Store View","Vizualizare magazin"
"Stores view","Afișarea magazinelor"
"The page doesnot exist.","Pagina nu există."
"The page has been saved successfully.","Pagina a fost salvată cu succes."
"The url key ","Tasta url "
"To","La"
"Top link","Link de top"
"Url key","Tasta Url"
"Use Config Settings","Utilizați setările Config"
"Vertical","Vertical"
"You can custom your all products page route","Puteți personaliza traseul paginii dvs. cu toate produsele"
