"%1 star","%1 звезда"
"%1 star to %2 stars","%1 звезда до %2 звезда"
"%1 stars","%1 звёзд"
"%1 stars to %2 stars","%1 звезд (ы) - %2 звезд"
"-- Please select --","-- Пожалуйста выберите --"
"-- Please select attribute --","- Выберите атрибут -"
"Example: .step-title{background-color: #1979c3;}","Пример: .step-title {background-color: # 1979c3;}"
"Add Attribute","Добавить атрибут"
"Add New Page","Добавить новую страницу"
"All Products Page","Все продукты"
"Are you sure?","Ты уверен?"
"Attribute height","Высота атрибута"
"Attributes","Атрибуты"
"Block height","Высота блока"
"Both","И то и другое"
"Cannot delete page with ID %1","Не удается удалить страницу с ID %1"
"Cannot find page to delete.","Не удается найти страницу для удаления."
"Category","категория"
"Choose attribute display option types.","Выберите типы параметров отображения атрибутов."
"Custom Css","Пользовательские CSS"
"Custom Products Page Information","Информация о пользовательских продуктах"
"Custom Products Pages","Страницы пользовательских продуктов"
"Default","По умолчанию"
"Default Attributes","Атрибуты по умолчанию"
"Default: 'Products'","По умолчанию: «Продукты»"
"Delete","Удалить"
"Delete Page","Удалить страницу"
"Delete successfully !","Удалить успешно!"
"Design Configuration","Конфигурация конфигурации"
"Display Type","Тип дисплея"
"Edit","редактировать"
"Edit Page ","Отредактировать страницу "
"Enable Infinite scroll","Включить бесконечный свиток"
"Flat UI","Плоский интерфейс"
"Footer link","Нижний колонтитул"
"From","Из"
"Hidden","скрытый"
"Horizontal","горизонтальный"
"Html5","Html5"
"ID","Я БЫ"
"If yes, products will auto load when scroll down.","Если да, продукты будут автоматически загружаться при прокрутке вниз."
"Link Position","Позиция ссылки"
"Link Title","Название ссылки"
"Max height of each attribute in px. Default '200'","Максимальная высота каждого атрибута в px. По умолчанию '200'"
"Meta Description","Описание Meta"
"Meta Keywords","Мета Ключевые слова"
"Meta Title","Мета-название"
"Modern","Современное"
"Name","имя"
"New Page","Новая страница"
"Nice white","Хороший белый"
"Normal","Нормальный"
"Number of option","Количество вариантов"
"Number of options","Количество вариантов"
"Number of options in attribute can be display by default. Default '5'","Количество опций в атрибуте может отображаться по умолчанию. По умолчанию '5'"
"Options","Опции"
"Page Information","Информация о странице"
"Page Route","Маршрут страницы"
"Page Title","Заголовок страницы"
"Please enter the page name.","Введите название страницы."
"Please enter the page route.","Введите маршрут страницы."
"Please enter the page title.","Введите название страницы."
"Save Page","Сохранить страницу"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Scroll","манускрипт"
"Show As Slider","Показать как слайдер"
"Show Link On","Показать ссылку"
"Show Navigation","Показать навигацию"
"Show Type","Показать тип"
"Simple dark","Простой темный"
"Slider Type","Тип слайдера"
"Something went wrong while saving the page.","При сохранении страницы что-то пошло не так."
"Status","Положение дел"
"Store View","Просмотр магазина"
"Stores view","Просмотр магазинов"
"The page doesnot exist.","Страница не существует."
"The page has been saved successfully.","Страница успешно сохранена."
"The url key ","Ключ url "
"To","к"
"Top link","Верхняя ссылка"
"Url key","Клавиша Url"
"Use Config Settings","Использовать настройки конфигурации"
"Vertical","вертикальный"
"You can custom your all products page route","Вы можете настроить свой маршрут всей страницы продуктов"
