"%1 star","%1 стар"
"%1 star to %2 stars","%1 звезда до %2 звезда"
"%1 stars","%1 звезде"
"%1 stars to %2 stars","%1 звезда до %2 звезде"
"-- Please select --","-- Молимо изаберите --"
"-- Please select attribute --","- Молимо изаберите атрибут -"
"Example: .step-title{background-color: #1979c3;}","Пример: .степ-титле {бацкгроунд-цолор: # 1979ц3;}"
"Add Attribute","Додај атрибут"
"Add New Page","Додајте нову страницу"
"All Products Page","Све странице производа"
"Are you sure?","Да ли сте сигурни?"
"Attribute height","Висина атрибута"
"Attributes","Атрибути"
"Block height","Висина блока"
"Both","И једно и друго"
"Cannot delete page with ID %1","Не могу брисати страницу са ИД-ом %1"
"Cannot find page to delete.","Не могу пронаћи страницу за брисање."
"Category","Категорија"
"Choose attribute display option types.","Изаберите тип опција приказа атрибута."
"Custom Css","Цустом Цсс"
"Custom Products Page Information","Информације о страницама прилагођених производа"
"Custom Products Pages","Странице прилагођених производа"
"Default","Уобичајено"
"Default Attributes","Подразумевани атрибути"
"Default: 'Products'","Подразумевано: 'Производи'"
"Delete","Избриши"
"Delete Page","Обриши страницу"
"Delete successfully !","Успешно обриши!"
"Design Configuration","Конфигурација дизајна"
"Display Type","Тип екрана"
"Edit","Уредити"
"Edit Page ","Измени страницу "
"Enable Infinite scroll","Омогући бесконачни померај"
"Flat UI","Флат УИ"
"Footer link","Фоотер линк"
"From","Од"
"Hidden","Сакривен"
"Horizontal","Хоризонтално"
"Html5","Хтмл5"
"ID","ИД"
"If yes, products will auto load when scroll down.","Ако је одговор да, производи ће се аутоматски учитати када се помери надоле."
"Link Position","Линк Поситион"
"Link Title","Линк Титле"
"Max height of each attribute in px. Default '200'","Максимална висина сваког атрибута у пк. Уобичајено '200'"
"Meta Description","Мета опис"
"Meta Keywords","Мета Кључне речи"
"Meta Title","Мета Наслов"
"Modern","Модеран"
"Name","Име"
"New Page","Нова страница"
"Nice white","Лепо бело"
"Normal","Нормално"
"Number of option","Број опције"
"Number of options","Број опција"
"Number of options in attribute can be display by default. Default '5'","Број опција у атрибуту се може приказати подразумевано. Уобичајено '5'"
"Options","Опције"
"Page Information","Информације о страници"
"Page Route","Пут руте"
"Page Title","Наслов странице"
"Please enter the page name.","Унесите име странице."
"Please enter the page route.","Молимо унесите путању странице."
"Please enter the page title.","Молимо унесите наслов странице."
"Save Page","Сачувај страницу"
"Save and Continue Edit","Сачувај и настави уредити"
"Scroll","Свитак"
"Show As Slider","Схов Ас Слидер"
"Show Link On","Схов Линк Он"
"Show Navigation","Прикажи навигацију"
"Show Type","Прикажи тип"
"Simple dark","Једноставно тамно"
"Slider Type","Тип слајдера"
"Something went wrong while saving the page.","Нешто је пошло наопако док сте снимали страницу."
"Status","Статус"
"Store View","Сторе Сторе"
"Stores view","Приказ трговине"
"The page doesnot exist.","Страница не постоји."
"The page has been saved successfully.","Страница је успешно сачувана."
"The url key ","Тастер урл "
"To","До"
"Top link","Врх линка"
"Url key","Тастер Урл"
"Use Config Settings","Користите Цонфиг Сеттингс"
"Vertical","Вертикала"
"You can custom your all products page route","Можете прилагодити своју путању на страници производа"
