"%1 star","%1 stjärna"
"%1 star to %2 stars","%1 stjärna till %2 stjärnor"
"%1 stars","%1 stjärnor"
"%1 stars to %2 stars","%1 stjärnor till %2 stjärnor"
"-- Please select --","-- Vänligen välj --"
"-- Please select attribute --","- Vänligen välj attribut -"
"Example: .step-title{background-color: #1979c3;}","Exempel: .step-titel {bakgrundsfärg: # 1979c3;}"
"Add Attribute","Lägg till attribut"
"Add New Page","Lägg till ny sida"
"All Products Page","Alla produkter sida"
"Are you sure?","Är du säker?"
"Attribute height","Attributhöjd"
"Attributes","attribut"
"Block height","Blockhöjd"
"Both","Både"
"Cannot delete page with ID %1","Kan inte ta bort sida med ID %1"
"Cannot find page to delete.","Det går inte att hitta en sida som ska raderas."
"Category","Kategori"
"Choose attribute display option types.","Välj attributtyper för visningsalternativ."
"Custom Css","Anpassad CSS"
"Custom Products Page Information","Information om anpassad produktsida"
"Custom Products Pages","Anpassade produktsidor"
"Default","Standard"
"Default Attributes","Standard attribut"
"Default: 'Products'","Standard: ""Produkter"""
"Delete","Radera"
"Delete Page","Ta bort sida"
"Delete successfully !","Ta bort!"
"Design Configuration","Designkonfiguration"
"Display Type","Bildskärmstyp"
"Edit","Redigera"
"Edit Page ","Redigera sida "
"Enable Infinite scroll","Aktivera oändlig bläddring"
"Flat UI","Platt UI"
"Footer link","Footer länk"
"From","Från"
"Hidden","Dold"
"Horizontal","Horisontell"
"Html5","html5"
"ID","ID"
"If yes, products will auto load when scroll down.","Om ja, kommer produkterna att laddas automatiskt när du rullar ner."
"Link Position","Länkposition"
"Link Title","Länk Titel"
"Max height of each attribute in px. Default '200'","Max höjd för varje attribut i px. Standard '200'"
"Meta Description","Meta Beskrivning"
"Meta Keywords","Meta Nyckelord"
"Meta Title","Metatitel"
"Modern","Modern"
"Name","namn"
"New Page","Ny sida"
"Nice white","Fin vit"
"Normal","Vanligt"
"Number of option","Antal alternativ"
"Number of options","Antal alternativ"
"Number of options in attribute can be display by default. Default '5'","Antal alternativ i attributet kan som standard visas. Standard '5'"
"Options","alternativ"
"Page Information","Sidinformation"
"Page Route","Sidväg"
"Page Title","Namn på sidan"
"Please enter the page name.","Vänligen ange sidnamnet."
"Please enter the page route.","Vänligen ange sidväggen."
"Please enter the page title.","Vänligen ange sidtiteln."
"Save Page","Spara sida"
"Save and Continue Edit","Spara och fortsätt Redigera"
"Scroll","Skrolla"
"Show As Slider","Visa som skjutreglage"
"Show Link On","Visa länk på"
"Show Navigation","Visa navigering"
"Show Type","Visa typ"
"Simple dark","Enkelt mörkt"
"Slider Type","Slider Typ"
"Something went wrong while saving the page.","Något gick fel när du sparade sidan."
"Status","Status"
"Store View","Store Visa"
"Stores view","Butiksvisning"
"The page doesnot exist.","Sidan finns inte."
"The page has been saved successfully.","Sidan har sparats framgångsrikt."
"The url key ","Url-tangenten "
"To","Till"
"Top link","Topplänk"
"Url key","Url-tangenten"
"Use Config Settings","Använd konfigurationsinställningar"
"Vertical","Vertikal"
"You can custom your all products page route","Du kan skräddarsy din alla produktsidor"
