"%1 star","%1 yıldız"
"%1 star to %2 stars","%1 yıldızdan %2 yıldıza"
"%1 stars","%1yıldız"
"%1 stars to %2 stars","%1 yıldızdan %2 yıldıza"
"-- Please select --","-- Lütfen seçiniz --"
"-- Please select attribute --","-- Lütfen öznitelik seçiniz --"
"Example: .step-title{background-color: #1979c3;}","Örnek: .adım-başlık{arkaplan-rengi: #1979c3;}"
"Add Attribute","Öznitelik Ekle"
"Add New Page","Yeni Sayfa Ekle"
"All Products Page","Tüm Ürünler Sayfası"
"Are you sure?","Emin misiniz?"
"Attribute height","Öznitelik yüksekliği"
"Attributes","Öznitelikler"
"Block height","Öbek yüksekliği"
"Both","İkisi"
"Cannot delete page with ID %1","%1Kimliğine sahip sayfa siliinemiyor"
"Cannot find page to delete.","Silmek için sayfa bulunamıyor."
"Category","Kategori"
"Choose attribute display option types.","Nitelik görüntüleme seçenek türünü seçin."
"Custom Css","Özel Css"
"Custom Products Page Information","Özel Ürünler Sayfası Bilgileri"
"Custom Products Pages","Özel Ürün Sayfaları"
"Default","Varsayılan"
"Default Attributes","Varsayılan Öznitelikler"
"Default: 'Products'","Varsayılan: 'Ürünler'"
"Delete","Sil"
"Delete Page","Sayfayı Sil"
"Delete successfully !","Silme başarılı!"
"Design Configuration","Yapılandırma dizaynı"
"Display Type","Türü Görüntüle"
"Edit","Düzenle"
"Edit Page ","Sayfayı Düzenle "
"Enable Infinite scroll","Sonsuz kaydırmayı etkinleştir"
"Flat UI","Düz UI"
"Footer link","Alt başlık bağlantısı"
"From","Gönderen"
"Hidden","Gizlenmiş"
"Horizontal","Yatay"
"Html5","Html5"
"ID","Kimlik"
"If yes, products will auto load when scroll down.","Evet işaretli ise, Ürünler mouse ile kaydırma işlemi yaparken otomatik olarak yüklenecektir."
"Link Position","Bağlantı Konumu"
"Link Title","Bağlantı Başlığı"
"Max height of each attribute in px. Default '200'","Px olarak her bir özniteliğin maks. yüksekliği. Varsayılan '200'"
"Meta Description","Meta açıklaması"
"Meta Keywords","Meta anahtar kelimeleri"
"Meta Title","Meta başlığı"
"Modern","Modern"
"Name","İsim"
"New Page","Yeni sayfa"
"Nice white","Güzel beyaz"
"Normal","Normal"
"Number of option","Seçenek sayısı"
"Number of options","Seçenek sayısı"
"Number of options in attribute can be display by default. Default '5'","Varsayılan olarak görüntülenebilecek niteliklerdeki seçenek sayısı. Varsayılan '5'"
"Options","Seçenekler"
"Page Information","Sayfa bilgileri"
"Page Route","Sayfa Rotası"
"Page Title","Sayfa başlığı"
"Please enter the page name.","Lütfen sayfa ismi giriniz."
"Please enter the page route.","Lütfen sayfa rotası giriniz."
"Please enter the page title.","Lütfen sayfa başlığı girin."
"Save Page","Sayfayı kaydet"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Scroll","Kaydır"
"Show As Slider","Kaydırıcı olarak göster"
"Show Link On","Bağlantıyı Göster"
"Show Navigation","Navigasyonu göster"
"Show Type","Türü göster"
"Simple dark","Basit koyuluk"
"Slider Type","Kaydırıcı türü"
"Something went wrong while saving the page.","Sayfayı kaydetme sırasında bir şeyler ters gitti."
"Status","Durum"
"Store View","Mağaza Görünümü"
"Stores view","Mağaza görünümü"
"The page doesnot exist.","Sayfa mevcut değil."
"The page has been saved successfully.","Sayfa başarıyla kaydedildi."
"The url key ","Url anahtarı "
"To","Alıcı"
"Top link","Üst bağlantı"
"Url key","Url anahtarı"
"Use Config Settings","Yapılandırma ayarlarını kullanın"
"Vertical","Yatay"
"You can custom your all products page route","Tüm ürünlerinizin sayfa rotasını özelleştirebilirsiniz"
