"%1 star","%1 зірка"
"%1 star to %2 stars","%1 зірка до %2 зірок"
"%1 stars","%1 зірки"
"%1 stars to %2 stars","%1 зірки до %2 зірок"
"-- Please select --","-- Виберіть будь ласка --"
"-- Please select attribute --","- Будь ласка, виберіть атрибут -"
"Example: .step-title{background-color: #1979c3;}","Приклад: .step-title {фон-колір: # 1979c3;}"
"Add Attribute","Додати атрибут"
"Add New Page","Додати нову сторінку"
"All Products Page","Сторінка Всі продукти"
"Are you sure?","Ти впевнений?"
"Attribute height","Висота атрибуту"
"Attributes","Атрибути"
"Block height","Висота блоку"
"Both","Обидва"
"Cannot delete page with ID %1","Неможливо видалити сторінку з ідентифікатором %1"
"Cannot find page to delete.","Не вдається знайти сторінку для видалення."
"Category","Категорія"
"Choose attribute display option types.","Виберіть типи параметрів відображення атрибутів."
"Custom Css","Custom CSS"
"Custom Products Page Information","Інформація про сторінку користувацьких продуктів"
"Custom Products Pages","Сторінки користувацьких продуктів"
"Default","За замовчуванням"
"Default Attributes","Атрибути за замовчуванням"
"Default: 'Products'","За умовчанням: ""Продукти"""
"Delete","Видалити"
"Delete Page","Видалити сторінку"
"Delete successfully !","Видалити успішно!"
"Design Configuration","Конфігурація дизайну"
"Display Type","Тип дисплея"
"Edit","Редагувати"
"Edit Page ","Редагувати сторінку "
"Enable Infinite scroll","Увімкнути нескінченну прокрутку"
"Flat UI","Плоский інтерфейс"
"Footer link","Посилання на нижній колонтитул"
"From","Від"
"Hidden","Приховано"
"Horizontal","Горизонтальний"
"Html5","Html5"
"ID","Ідентифікатор"
"If yes, products will auto load when scroll down.","Якщо так, продукти будуть автоматично завантажуватися при прокручуванні вниз."
"Link Position","Позиція зв'язку"
"Link Title","Назва посилання"
"Max height of each attribute in px. Default '200'","Максимальний висота кожного атрибута в px. За замовчуванням '200'"
"Meta Description","Мета опис"
"Meta Keywords","Мета-ключові слова"
"Meta Title","Мета Назва"
"Modern","Сучасний"
"Name","Ім'я"
"New Page","Нова сторінка"
"Nice white","Приємно білий"
"Normal","Нормальний"
"Number of option","Кількість варіантів"
"Number of options","Кількість опцій"
"Number of options in attribute can be display by default. Default '5'","Кількість параметрів у атрибуті може відображатися за замовчуванням. ""5"" за умовчанням"
"Options","Параметри"
"Page Information","Інформація про сторінку"
"Page Route","Маршрут сторінки"
"Page Title","Назва сторінки"
"Please enter the page name.","Будь ласка, введіть назву сторінки."
"Please enter the page route.","Будь ласка, введіть маршрут сторінки."
"Please enter the page title.","Будь ласка, введіть назву сторінки."
"Save Page","Зберегти сторінку"
"Save and Continue Edit","Зберегти та продовжити редагування"
"Scroll","Прокрутити"
"Show As Slider","Показати як слайдер"
"Show Link On","Показати посилання на"
"Show Navigation","Показати навігацію"
"Show Type","Показати тип"
"Simple dark","Простий темний"
"Slider Type","Тип слайдера"
"Something went wrong while saving the page.","Під час збереження сторінки сталася помилка."
"Status","Статус"
"Store View","Перегляд магазину"
"Stores view","Погляд на магазини"
"The page doesnot exist.","Сторінка не існує."
"The page has been saved successfully.","Сторінка збережена успішно."
"The url key ","Ключ url "
"To","До"
"Top link","Вершина посилання"
"Url key","Url ключ"
"Use Config Settings","Використовуйте налаштування конфігурації"
"Vertical","Вертикальний"
"You can custom your all products page route","Ви можете налаштувати весь маршрут сторінки продуктів"
