"%1 star","%1 star"
"%1 star to %2 stars","%1 star to %2 stars"
"%1 stars","%1 stars"
"%1 stars to %2 stars","%1 stars to %2 stars"
"-- Please select --","-- Please select --"
"-- Please select attribute --","-- Please select attribute --"
"Example: .step-title{background-color: #1979c3;}","Example: .step-title{background-color: #1979c3;}"
"Add Attribute","Add Attribute"
"Add New Page","Add New Page"
"All Products Page","All Products Page"
"Are you sure?","Are you sure?"
"Attribute height","Attribute height"
"Attributes","Attributes"
"Block height","Block height"
"Both","Both"
"Cannot delete page with ID %1","Cannot delete page with ID %1"
"Cannot find page to delete.","Cannot find page to delete."
"Category","Category"
"Choose attribute display option types.","Choose attribute display option types."
"Custom Css","Custom Css"
"Custom Products Page Information","Custom Products Page Information"
"Custom Products Pages","Custom Products Pages"
"Default","Default"
"Default Attributes","Default Attributes"
"Default: 'Products'","Default: 'Products'"
"Delete","Delete"
"Delete Page","Delete Page"
"Delete successfully !","Delete successfully !"
"Design Configuration","Design Configuration"
"Display Type","Display Type"
"Edit","Edit"
"Edit Page ","Edit Page "
"Enable Infinite scroll","Enable Infinite scroll"
"Flat UI","Flat UI"
"Footer link","Footer link"
"From","From"
"Hidden","Hidden"
"Horizontal","Horizontal"
"Html5","Html5"
"ID","ID"
"If yes, products will auto load when scroll down.","If yes, products will auto load when scroll down."
"Link Position","Link Position"
"Link Title","Link Title"
"Max height of each attribute in px. Default '200'","Max height of each attribute in px. Default '200'"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta Title"
"Modern","Modern"
"Name","Name"
"New Page","New Page"
"Nice white","Nice white"
"Normal","Normal"
"Number of option","Number of option"
"Number of options","Number of options"
"Number of options in attribute can be display by default. Default '5'","Number of options in attribute can be display by default. Default '5'"
"Options","Options"
"Page Information","Page Information"
"Page Route","Page Route"
"Page Title","Page Title"
"Please enter the page name.","Please enter the page name."
"Please enter the page route.","Please enter the page route."
"Please enter the page title.","Please enter the page title."
"Save Page","Save Page"
"Save and Continue Edit","Save and Continue Edit"
"Scroll","Scroll"
"Show As Slider","Show As Slider"
"Show Link On","Show Link On"
"Show Navigation","Show Navigation"
"Show Type","Show Type"
"Simple dark","Simple dark"
"Slider Type","Slider Type"
"Something went wrong while saving the page.","Something went wrong while saving the page."
"Status","Status"
"Store View","Store View"
"Stores view","Stores view"
"The page doesnot exist.","The page doesnot exist."
"The page has been saved successfully.","The page has been saved successfully."
"The url key ","The url key "
"To","To"
"Top link","Top link"
"Url key","Url key"
"Use Config Settings","Use Config Settings"
"Vertical","Vertical"
"You can custom your all products page route","You can custom your all products page route"
