"%1 star","%1 明星"
"%1 star to %2 stars","%1 明星到 %2 明星"
"%1 stars","%1 明星"
"%1 stars to %2 stars","%1 明星 %2 明星"
"-- Please select --","-  请选择  -"
"-- Please select attribute --","- 请选择属性 -"
"Example: .step-title{background-color: #1979c3;}","例如：.step-title {background-color：＃1979c3;}"
"Add Attribute","添加属性"
"Add New Page","添加新页面"
"All Products Page","所有产品页面"
"Are you sure?","你确定？"
"Attribute height","属性高度"
"Attributes","属性"
"Block height","块高度"
"Both","都"
"Cannot delete page with ID %1","无法删除ID为 %1的页面"
"Cannot find page to delete.","找不到要删除的页面。"
"Category","类别"
"Choose attribute display option types.","选择属性显示选项类型。"
"Custom Css","自定义CSS"
"Custom Products Page Information","定制产品页面信息"
"Custom Products Pages","定制产品页面"
"Default","默认"
"Default Attributes","默认属性"
"Default: 'Products'","默认值：'产品'"
"Delete","删除"
"Delete Page","删除页面"
"Delete successfully !","删除成功！"
"Design Configuration","设计配置"
"Display Type","显示类型"
"Edit","编辑"
"Edit Page ","编辑页面 "
"Enable Infinite scroll","启用无限滚动"
"Flat UI","平的UI"
"Footer link","页脚链接"
"From","从"
"Hidden","隐"
"Horizontal","横"
"Html5","HTML5"
"ID","ID"
"If yes, products will auto load when scroll down.","如果是，则产品将在向下滚动时自动加载。"
"Link Position","链接位置"
"Link Title","链接标题"
"Max height of each attribute in px. Default '200'","每个属性在px中的最大高度。默认'200'"
"Meta Description","元描述"
"Meta Keywords","Meta关键字"
"Meta Title","元标题"
"Modern","现代"
"Name","名称"
"New Page","新一页"
"Nice white","漂亮的白色"
"Normal","正常"
"Number of option","选项数量"
"Number of options","选项数量"
"Number of options in attribute can be display by default. Default '5'","属性中的选项数量可以默认显示。默认'5'"
"Options","选项"
"Page Information","页面信息"
"Page Route","页面路线"
"Page Title","页面标题"
"Please enter the page name.","请输入页面名称。"
"Please enter the page route.","请输入页面路线。"
"Please enter the page title.","请输入页面标题。"
"Save Page","保存页面"
"Save and Continue Edit","保存并继续编辑"
"Scroll","滚动"
"Show As Slider","显示为滑块"
"Show Link On","显示链接"
"Show Navigation","显示导航"
"Show Type","显示类型"
"Simple dark","简单的黑暗"
"Slider Type","滑块类型"
"Something went wrong while saving the page.","保存页面时出现问题。"
"Status","状态"
"Store View","商店视图"
"Stores view","存储视图"
"The page doesnot exist.","该页面不存在。"
"The page has been saved successfully.","该页面已成功保存。"
"The url key ","url密钥 "
"To","至"
"Top link","顶级链接"
"Url key","网址键"
"Use Config Settings","使用配置设置"
"Vertical","垂直"
"You can custom your all products page route","您可以自定义您的所有产品页面路线"
