"Brand Information","معلومات العلامة التجارية"
"Page Title","عنوان الصفحة"
"If empty, option label by store will be used.","إذا فارغة، سيتم استخدام تسمية الخيار من قبل مخزن."
"Url Key","مفتاح عنوان ورل"
"Brand Image","صورة العلامة التجارية"
"If empty, option visual image or default image from configuration will be used.","إذا كانت فارغة، سيتم استخدام صورة بصرية الخيار أو الصورة الافتراضية من التكوين."
"Featured","متميز"
"Enabled","تمكين"
"Disabled","معاق"
"If 'Enabled', this brand will be displayed on featured brand slider.","إذا 'تمكين'، سيتم عرض هذه العلامة التجارية على شريط التمرير العلامة التجارية مميزة."
"Short Description","وصف قصير"
"Description","وصف"
"CMS Block","كمس بلوك"
"Meta Information","المعلومات الوصفية"
"Meta Title","عنوان ميتا"
"Meta Keywords","كلمات دلالية"
"Meta Description","ميتا الوصف"
"Home","الصفحة الرئيسية"
"Go to Home Page","انتقل إلى الصفحة الرئيسية"
"Brands","العلامات التجارية"
"Brand option has been saved successfully.","تم حفظ خيار العلامة التجارية بنجاح."
"Attribute option does not exist.","خيار السمة غير موجود."
"-- Please select --","- الرجاء الاختيار -"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","الفئة"
"Logo Only","شعار فقط"
"Logo and Label","الشعار والتسمية"
"-- Please Select --","- من فضلك اختر -"
"There is no sample file for this entity.","لا يوجد ملف عينة لهذا الكيان."
"Sort Option","فرز الخيار"
"Setting","ضبط"
"Delete","حذف"
"Choose a color","اختيار اللون"
"Upload a file","تحميل ملف"
"Clear","واضح"
"All","الكل"
"label' 'char","تسمية '' شار"
"There is no brand available.","لا توجد علامة تجارية متاحة."
"Search a brand name","ابحث عن اسم العلامة التجارية"
"Search","بحث"
"Brand Configuration","تكوين العلامة التجارية"
"Save","حفظ"
"Cancel","إلغاء"
"Shop by brand","تسوق وفق الماركة"
"General","جنرال لواء"
"Enable","مكن"
"Brand Attribute","سمة العلامة التجارية"
"Brand Link Title","عنوان رابط العلامة التجارية"
"Show Brand Link In","عرض علامة تجارية لينك إن"
"All Brands Page Settings","جميع العلامات التجارية إعدادات الصفحة"
"Brand route","مسار العلامة التجارية"
"Brand list name","اسم قائمة العلامة التجارية"
"Display Option","خيار العرض"
"Style Color","نمط اللون"
"Show Brand Description","عرض وصف العلامة التجارية"
"Brand Search Settings","إعدادات بحث العلامة التجارية"
"Show Search Block","عرض كتلة البحث"
"Min chars","مين حرف"
"Maximum Query Result","النتيجة القصوى لطلب البحث"
"Visible Image","صورة مرئية"
"Featured Brand Settings","إعدادات العلامة التجارية المميزة"
"Show Featured Brands","عرض العلامات التجارية المميزة"
"Title","عنوان"
"Display Information","معلومات العرض"
"Embedded Code","كود مضمن"
"Default Image","الصورة الافتراضية"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","الصورة الافتراضية للعلامة التجارية. إذا كان فارغا، سيتم استخدام الصورة الافتراضية لعنصر نائب المنتج. <br /> (جبغ، جبيغ، جيف، ينغ)"
"Default Block","كتلة افتراضية"
"Show Brand Image On Brand Page","عرض صورة العلامة التجارية في صفحة العلامة التجارية"
"Show Brand Description On Brand Page","عرض وصف العلامة التجارية على صفحة العلامة التجارية"
"Show Brand Static Block On Brand Page","عرض العلامة التجارية كتلة ثابتة على صفحة العلامة التجارية"
"Default Config","التكوين الافتراضي"
