"Brand Information","Brand Information"
"Page Title","Sidetitel"
"If empty, option label by store will be used.","Hvis det er tomt, vil valgmærkat efter butik blive brugt."
"Url Key","Url-nøgle"
"Brand Image","Brand Image"
"If empty, option visual image or default image from configuration will be used.","Hvis det er tomt, vil billedbilledet eller standardbilledet fra konfigurationen blive brugt."
"Featured","Udvalgte"
"Enabled","Aktiveret"
"Disabled","handicappet"
"If 'Enabled', this brand will be displayed on featured brand slider.","Hvis 'Aktiveret' vises, vil dette mærke blive vist på glidebrydende mærke."
"Short Description","Kort beskrivelse"
"Description","Beskrivelse"
"CMS Block","CMS Block"
"Meta Information","Meta Information"
"Meta Title","Meta Titel"
"Meta Keywords","Meta Nøgleord"
"Meta Description","Meta Beskrivelse"
"Home","Hjem"
"Go to Home Page","Gå til startside"
"Brands","mærker"
"Brand option has been saved successfully.","Brand option er blevet gemt med succes."
"Attribute option does not exist.","Attributvalg findes ikke."
"-- Please select --","-- Vælg venligst --"
"Toplink","toplink"
"Footerlink","FooterLink"
"Category","Kategori"
"Logo Only","Kun logo"
"Logo and Label","Logo og Etiket"
"-- Please Select --","-- Vælg venligst --"
"There is no sample file for this entity.","Der er ingen prøvefil til denne enhed."
"Sort Option","Sorter option"
"Setting","Indstilling"
"Delete","Slet"
"Choose a color","Vælg en farve"
"Upload a file","Upload en fil"
"Clear","Klar"
"All","Alle"
"label' 'char","Etiket '' char"
"There is no brand available.","Der er ikke noget mærke til rådighed."
"Search a brand name","Søg efter et mærke"
"Search","Søg"
"Brand Configuration","Brand Configuration"
"Save","Gemme"
"Cancel","Afbestille"
"Shop by brand","Shop efter mærke"
"General","Generel"
"Enable","Aktiver"
"Brand Attribute","Brand Egenskab"
"Brand Link Title","Brand Link Titel"
"Show Brand Link In","Vis Brand Link In"
"All Brands Page Settings","Alle mærker sideindstillinger"
"Brand route","Brand rute"
"Brand list name","Brandliste navn"
"Display Option","Display Option"
"Style Color","Stilfarve"
"Show Brand Description","Vis mærkebeskrivelse"
"Brand Search Settings","Brand Search Settings"
"Show Search Block","Vis søgeblok"
"Min chars","Mine tegn"
"Maximum Query Result","Maksimalt forespørgselsresultat"
"Visible Image","Synligt billede"
"Featured Brand Settings","Udvalgte mærkeindstillinger"
"Show Featured Brands","Vis udvalgte mærker"
"Title","Titel"
"Display Information","Vis oplysninger"
"Embedded Code","Embedded Code"
"Default Image","Standardbillede"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Standardbillede for mærke. Hvis tom, vil produktplaceringsstandardbilledet blive brugt.<br /> (jpg, jpeg, gif, png)"
"Default Block","Standard blok"
"Show Brand Image On Brand Page","Vis varemærkebillede på varemærke side"
"Show Brand Description On Brand Page","Vis mærkebeskrivelse på varemærke side"
"Show Brand Static Block On Brand Page","Vis Brand Statisk Blok På Brand Page"
"Default Config","Standardkonfig"
