"Brand Information","Markeninformationen"
"Page Title","Seitentitel"
"If empty, option label by store will be used.","Wenn leer, wird die Option Label by Store verwendet."
"Url Key","Url Schlüssel"
"Brand Image","Markenzeichen"
"If empty, option visual image or default image from configuration will be used.","Wenn leer, wird die Option visuelles Bild oder Standardbild aus der Konfiguration verwendet."
"Featured","Vorgestellt"
"Enabled","Aktiviert"
"Disabled","Behindert"
"If 'Enabled', this brand will be displayed on featured brand slider.","Wenn 'Enabled' ist, wird diese Marke auf dem markierten Marken-Schieberegler angezeigt."
"Short Description","kurze Beschreibung"
"Description","Beschreibung"
"CMS Block","CMS-Block"
"Meta Information","Meta-Informationen"
"Meta Title","Meta-Titel"
"Meta Keywords","Meta-Keywords"
"Meta Description","Meta Beschreibung"
"Home","Zuhause"
"Go to Home Page","Zur Startseite gehen"
"Brands","Marken"
"Brand option has been saved successfully.","Markenoption wurde erfolgreich gespeichert."
"Attribute option does not exist.","Attributoption existiert nicht."
"-- Please select --","-- Bitte auswählen --"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","Kategorie"
"Logo Only","Nur Logo"
"Logo and Label","Logo und Label"
"-- Please Select --","-- Bitte auswählen --"
"There is no sample file for this entity.","Es gibt keine Beispieldatei für diese Entität."
"Sort Option","Sortieroption"
"Setting","Rahmen"
"Delete","Löschen"
"Choose a color","Wähle eine Farbe"
"Upload a file","Eine Datei hochladen"
"Clear","Klar"
"All","Alle"
"label' 'char","Etikett '' char"
"There is no brand available.","Es gibt keine Marke."
"Search a brand name","Suchen Sie einen Markennamen"
"Search","Suche"
"Brand Configuration","Markenkonfiguration"
"Save","sparen"
"Cancel","Stornieren"
"Shop by brand","Shop nach Marke"
"General","General"
"Enable","Aktivieren"
"Brand Attribute","Markenattribut"
"Brand Link Title","Brand Link Titel"
"Show Brand Link In","Zeige Marke Link In"
"All Brands Page Settings","Alle Marken Seiteneinstellungen"
"Brand route","Markenroute"
"Brand list name","Name der Markenliste"
"Display Option","Anzeigeoption"
"Style Color","Stilfarbe"
"Show Brand Description","Marke anzeigen Beschreibung"
"Brand Search Settings","Marken Sucheinstellungen"
"Show Search Block","Suchblock anzeigen"
"Min chars","Min. Zeichen"
"Maximum Query Result","Maximales Abfrageergebnis"
"Visible Image","Sichtbares Bild"
"Featured Brand Settings","Ausgewählte Markeneinstellungen"
"Show Featured Brands","Ausgewählte Marken anzeigen"
"Title","Titel"
"Display Information","Anzeigen von Informationen"
"Embedded Code","Eingebetteter Code"
"Default Image","Standardbild"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Standardbild für Marke. Wenn leer, wird das Produkt-Platzhalter-Standardbild verwendet.<br /> (jpg, jpeg, gif, png)"
"Default Block","Standardblock"
"Show Brand Image On Brand Page","Zeigen Sie Brand Image On Brand Page"
"Show Brand Description On Brand Page","Zeigen Sie Brand Beschreibung auf Brand Page"
"Show Brand Static Block On Brand Page","Show Brand Static Block auf Brand Page"
"Default Config","Default Config"
