"Brand Information","Πληροφορίες μάρκας"
"Page Title","Τίτλος σελίδας"
"If empty, option label by store will be used.","Εάν είναι κενή, θα χρησιμοποιηθεί η ετικέτα επιλογής ανά κατάστημα."
"Url Key","Κλειδί Url"
"Brand Image","Εικόνα μάρκας"
"If empty, option visual image or default image from configuration will be used.","Εάν είναι κενή, θα χρησιμοποιηθεί οπτική εικόνα επιλογής ή προεπιλεγμένη εικόνα από τη διαμόρφωση."
"Featured","Προτεινόμενα"
"Enabled","Ενεργοποιήθηκε"
"Disabled","άτομα με ειδικές ανάγκες"
"If 'Enabled', this brand will be displayed on featured brand slider.","Αν το στοιχείο ""Ενεργοποιημένο"", αυτή η επωνυμία θα εμφανιστεί σε συρόμενο εμπορικό σήμα."
"Short Description","Σύντομη περιγραφή"
"Description","Περιγραφή"
"CMS Block","CMS Block"
"Meta Information","Μεταβιβάσεις πληροφοριών"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Περιγραφή"
"Home","Σπίτι"
"Go to Home Page","ΠΗΓΑΙΝΕ ΣΤΗΝ ΑΡΧΙΚΗ ΣΕΛΙΔΑ"
"Brands","Μάρκες"
"Brand option has been saved successfully.","Η επιλογή μάρκας αποθηκεύτηκε με επιτυχία."
"Attribute option does not exist.","Η επιλογή χαρακτηριστικών δεν υπάρχει."
"-- Please select --","-- Παρακαλώ επιλέξτε --"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","Κατηγορία"
"Logo Only","Μόνο λογότυπο"
"Logo and Label","Λογότυπο και ετικέτα"
"-- Please Select --","-- Παρακαλώ επιλέξτε --"
"There is no sample file for this entity.","Δεν υπάρχει αρχείο δείγματος για αυτήν την οντότητα."
"Sort Option","Επιλογή ταξινόμησης"
"Setting","Σύνθεση"
"Delete","Διαγράφω"
"Choose a color","Επιλέξτε ένα χρώμα"
"Upload a file","Ανέβασε ένα αρχείο"
"Clear","Σαφή"
"All","Ολα"
"label' 'char","Ετικέτα ''"
"There is no brand available.","Δεν υπάρχει εμπορικό σήμα."
"Search a brand name","Αναζήτηση ονόματος εμπορικού σήματος"
"Search","Ψάξιμο"
"Brand Configuration","Διαμόρφωση μάρκας"
"Save","Αποθηκεύσετε"
"Cancel","Ματαίωση"
"Shop by brand","Κατάστημα με μάρκα"
"General","Γενικός"
"Enable","επιτρέπω"
"Brand Attribute","Χαρακτηριστικό μάρκας"
"Brand Link Title","Τίτλος συνδέσμου μάρκας"
"Show Brand Link In","Εμφάνιση σύνδεσμου μάρκας"
"All Brands Page Settings","Όλες οι ρυθμίσεις της Σελίδας Μάρκες"
"Brand route","Διαδρομή μάρκας"
"Brand list name","Όνομα λίστας μάρκας"
"Display Option","Επιλογή οθόνης"
"Style Color","Στυλ χρώματος"
"Show Brand Description","Εμφάνιση επωνυμίας επωνυμίας"
"Brand Search Settings","Ρυθμίσεις αναζήτησης μάρκας"
"Show Search Block","Εμφάνιση αναζήτησης αναζήτησης"
"Min chars","Ελάχιστοι χαρακτήρες"
"Maximum Query Result","Μέγιστο αποτέλεσμα ερωτήματος"
"Visible Image","Ορατή εικόνα"
"Featured Brand Settings","Προτεινόμενες ρυθμίσεις επωνυμίας"
"Show Featured Brands","Εμφάνιση Προτεινόμενων Μάρκων"
"Title","Τίτλος"
"Display Information","Εμφάνιση πληροφοριών"
"Embedded Code","Ενσωματωμένος κώδικας"
"Default Image","Προεπιλεγμένη εικόνα"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Προεπιλεγμένη εικόνα για το εμπορικό σήμα. Εάν είναι άδειο, θα χρησιμοποιηθεί η προεπιλεγμένη εικόνα του αντικειμένου κράτησης θέσης προϊόντος.<br /> (jpg, jpeg, gif, png)"
"Default Block","Προκαθορισμένο πεδίο"
"Show Brand Image On Brand Page","Εμφάνιση εικόνας μάρκας στη σελίδα επωνυμίας"
"Show Brand Description On Brand Page","Εμφάνιση επωνυμίας επάνω στη μάρκα"
"Show Brand Static Block On Brand Page","Εμφάνιση μαρκαριστικού στατικού μπλοκ στη σελίδα επωνυμίας"
"Default Config","Προεπιλεγμένη ρύθμιση παραμέτρων"
