"Brand Information","Brand Information"
"Page Title","Page Title"
"If empty, option label by store will be used.","If empty, option label by store will be used."
"URL Key","URL Key"
"Brand Image","Brand Image"
"If empty, option visual image or default image from configuration will be used.","If empty, option visual image or default image from configuration will be used."
Featured,Featured
Enabled,Enabled
Disabled,Disabled
"If 'Enabled', this brand will be displayed on featured brand slider.","If 'Enabled', this brand will be displayed on featured brand slider."
"Short Description","Short Description"
Description,Description
"CMS Block","CMS Block"
"Meta Information","Meta Information"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Custom Brand Category","Custom Brand Category"
"Add New Category","Add New Category"
"Save Category","Save Category"
"Delete Category","Delete Category"
"Save and Continue Edit","Save and Continue Edit"
"Edit Category '%1'","Edit Category '%1'"
"New Category","New Category"
Brands,Brands
"Category Information","Category Information"
Name,Name
"Stores view","Stores view"
Status,Status
"Meta Robots","Meta Robots"
Category,Category
ID,ID
"Store View","Store View"
Edit,Edit
Delete,Delete
"Are you sure?","Are you sure?"
"Use following code to show featured brand block in any place which you want.","Use following code to show featured brand block in any place which you want."
"CMS Page/Static Block","CMS Page/Static Block"
"Template .phtml file","Template .phtml file"
"Layout file","Layout file"
Home,Home
"Go to Home Page","Go to Home Page"
"More from this Brand (%1)","More from this Brand (%1)"
"Brand option has been saved successfully.","Brand option has been saved successfully."
"Attribute option does not exist.","Attribute option does not exist."
"You have to choose an attribute as brand in configuration.","You have to choose an attribute as brand in configuration."
"Delete successfully !","Delete successfully !"
"Cannot find category to delete.","Cannot find category to delete."
"The category does not exist.","The category does not exist."
"Brand Categories","Brand Categories"
"Please select category.","Please select category."
"Cannot delete category with ID %1","Cannot delete category with ID %1"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"The category has been saved successfully.","The category has been saved successfully."
"Something went wrong while saving the category.","Something went wrong while saving the category."
"Please enter the category name.","Please enter the category name."
"The url key ""%1"" has been used.","The url key ""%1"" has been used."
"Please enter the category url key.","Please enter the category url key."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
"The brand can't be saved.","The brand can't be saved."
"Invalid option id %1","Invalid option id %1"
"The ""%1"" brand doesn't exist.","The ""%1"" brand doesn't exist."
"The brand can't be updated.","The brand can't be updated."
"The brand category that was requested doesn't exist. Verify the category and try again.","The brand category that was requested doesn't exist. Verify the category and try again."
"The brand category can't be saved.","The brand category can't be saved."
"The brand category can't be updated.","The brand category can't be updated."
"The ""%1"" brand category doesn't exist.","The ""%1"" brand category doesn't exist."
"The brand category can't be delete.","The brand category can't be delete."
"Missing category name.","Missing category name."
"The url key has been used.","The url key has been used."
"Missing category url key","Missing category url key"
"Logo Only","Logo Only"
"Logo and Label","Logo and Label"
"Label Only","Label Only"
"List View","List View"
"Alphabet View","Alphabet View"
"-- Please select --","-- Please select --"
Toplink,Toplink
"Footer link","Footer link"
"Slider View","Slider View"
"Simple View","Simple View"
Listing,Listing
"Mega Listing","Mega Listing"
"INDEX,FOLLOW","INDEX,FOLLOW"
"NOINDEX,NOFOLLOW","NOINDEX,NOFOLLOW"
"NOINDEX,FOLLOW","NOINDEX,FOLLOW"
"INDEX,NOFOLLOW","INDEX,NOFOLLOW"
"Not show","Not show"
"Brand Name","Brand Name"
"Brand Logo","Brand Logo"
"-- Please Select --","-- Please Select --"
"Brand By OptionID Widget","Brand By OptionID Widget"
"Featured Brand Widget","Featured Brand Widget"
Add/Update,Add/Update
"Note: Please select the brand attribute in Mageplaza_Shopbybrand configuration first.","Note: Please select the brand attribute in Mageplaza_Shopbybrand configuration first."
"File directory '%1' is not readable.","File directory '%1' is not readable."
"File directory '%1' is not writable.","File directory '%1' is not writable."
"There is no sample file for this entity.","There is no sample file for this entity."
"Sort Option","Sort Option"
Configure,Configure
"Choose a color","Choose a color"
"Upload a file","Upload a file"
Clear,Clear
Selected,Selected
"Option Id","Option Id"
"Store view","Store view"
"All store view","All store view"
"No brand found","No brand found"
All,All
"All Category","All Category"
"Related Products","Related Products"
Loading...,Loading...
"There is no brand available.","There is no brand available."
"Search a brand name","Search a brand name"
Search,Search
"View All","View All"
"No categories available.","No categories available."
"Brand Configuration","Brand Configuration"
Save,Save
Cancel,Cancel
Close,Close
"Shop by brand","Shop by brand"
General,General
Enable,Enable
"Select <b>Yes</b> to enable Shop By Brand.<br>The extension is fully compatible with <a href=""https://goo.gl/Z1QtsG"" target=""_blank"">Layered Navigation</a>","Select <b>Yes</b> to enable Shop By Brand.<br>The extension is fully compatible with <a href=""https://goo.gl/Z1QtsG"" target=""_blank"">Layered Navigation</a>"
"Brand Attribute","Brand Attribute"
"Brand Route","Brand Route"
"Custom brand page URL. Default: <strong>brand</strong>","Custom brand page URL. Default: <strong>brand</strong>"
"Brand Link Title","Brand Link Title"
"Enter the title of brand link. Default: 'Brands'","Enter the title of brand link. Default: 'Brands'"
"Show Brand Link In","Show Brand Link In"
"Show Brands in Drop-down Category Menu","Show Brands in Drop-down Category Menu"
"Select <b>Yes</b> to allow brand names to show up in the drop-down category menu","Select <b>Yes</b> to allow brand names to show up in the drop-down category menu"
"Show Brand Name on Product Listing Page","Show Brand Name on Product Listing Page"
"Show Brand Name in the Product Listing Page such as Category, Catalog Search results","Show Brand Name in the Product Listing Page such as Category, Catalog Search results"
"Show Brand Info in Product Page","Show Brand Info in Product Page"
"Display brand info in the product page, <a href=""https://goo.gl/1eS5r8"" target=""blank"">learn more</a>","Display brand info in the product page, <a href=""https://goo.gl/1eS5r8"" target=""blank"">learn more</a>"
"Brand Logo Width in Product Page","Brand Logo Width in Product Page"
