"Brand Information","Tuotetiedot"
"Page Title","Sivun otsikko"
"If empty, option label by store will be used.","Jos se on tyhjää, käytetään varastomerkkiä varastossa."
"Url Key","Url-avain"
"Brand Image","Brand Image"
"If empty, option visual image or default image from configuration will be used.","Jos on tyhjä, käytetään valinnaista visuaalista kuvaa tai oletuskuvaa kokoonpanosta."
"Featured","Kiinnostavat"
"Enabled","käytössä"
"Disabled","Liikuntarajoitteinen"
"If 'Enabled', this brand will be displayed on featured brand slider.","Jos ""Käytössä"" on käytössä, tämä brändi näkyy esillä olevan brändin liukusäätimessä."
"Short Description","Lyhyt kuvaus"
"Description","Kuvaus"
"CMS Block","CMS Block"
"Meta Information","Metatiedot"
"Meta Title","Meta-otsikko"
"Meta Keywords","Meta-avainsanat"
"Meta Description","Meta-kuvaus"
"Home","Koti"
"Go to Home Page","Mene kotisivulle"
"Brands","Brands"
"Brand option has been saved successfully.","Brand-vaihtoehto on tallennettu onnistuneesti."
"Attribute option does not exist.","Attribuutti-vaihtoehtoa ei ole olemassa."
"-- Please select --","-- Ole hyvä ja valitse --"
"Toplink","toplink"
"Footerlink","Footerlink"
"Category","Kategoria"
"Logo Only","Vain logo"
"Logo and Label","Logo ja tarra"
"-- Please Select --","-- Ole hyvä ja valitse --"
"There is no sample file for this entity.","Tälle kokonaisuudelle ei ole näytetiedostoa."
"Sort Option","Lajittele vaihtoehto"
"Setting","asetus"
"Delete","Poistaa"
"Choose a color","Valitse väri"
"Upload a file","Lähetä tiedosto"
"Clear","Asia selvä"
"All","Kaikki"
"label' 'char","Merkintä '' char"
"There is no brand available.","Tuotemerkkiä ei ole saatavilla."
"Search a brand name","Etsi tuotemerkki"
"Search","Hae"
"Brand Configuration","Merkkivalikoima"
"Save","Tallentaa"
"Cancel","Peruuttaa"
"Shop by brand","Osta tuotemerkin mukaan"
"General","yleinen"
"Enable","ota käyttöön"
"Brand Attribute","Merkkiominaisuus"
"Brand Link Title","Tuotemerkin linkin otsikko"
"Show Brand Link In","Näytä tuotemerkin linkki"
"All Brands Page Settings","Kaikki tuotemerkkiasetukset"
"Brand route","Merkitse reitti"
"Brand list name","Merkkilistan nimi"
"Display Option","Näyttövaihtoehto"
"Style Color","Tyyli Väri"
"Show Brand Description","Näytä tuotemerkin kuvaus"
"Brand Search Settings","Brandin hakuasetukset"
"Show Search Block","Näytä hakulohko"
"Min chars","Min merkki"
"Maximum Query Result","Maksimi kyselyn tulos"
"Visible Image","Näkyvä kuva"
"Featured Brand Settings","Suositeltavat Brandin asetukset"
"Show Featured Brands","Näytä esitellyt brändit"
"Title","otsikko"
"Display Information","Näytä tiedot"
"Embedded Code","Sulautettu koodi"
"Default Image","Oletuskuva"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Oletuskuva Brandille. Jos tyhjä, tuoteparannuksen oletuskuvaa käytetään.<br /> (jpg, jpeg, gif, png)"
"Default Block","Oletuslohko"
"Show Brand Image On Brand Page","Näytä tuotemerkki kuva tuotemerkin sivulla"
"Show Brand Description On Brand Page","Näytä tuotemerkin kuvaus Tuotemerkki-sivulla"
"Show Brand Static Block On Brand Page","Näytä tuotemerkin staattinen lohko tuotemerkkikohtaisesti"
"Default Config","Oletusasetus"
