"Brand Information","מידע על המותג"
"Page Title","כותרת העמוד"
"If empty, option label by store will be used.","אם תשתמש בתווית אופציונלית בחנות."
"Url Key","מפתח כתובת אתר"
"Brand Image","תמונת מותג"
"If empty, option visual image or default image from configuration will be used.","אם נעשה שימוש בתמונה חזותית אופציונלית או בתמונת ברירת מחדל מהתצורה."
"Featured","מומלצים"
"Enabled","מופעל"
"Disabled","נָכֶה"
"If 'Enabled', this brand will be displayed on featured brand slider.","אם 'מופעל', מותג זה יוצג על מחוון המותג המוצג."
"Short Description","תיאור קצר"
"Description","תאור"
"CMS Block","בלוק CMS"
"Meta Information","מידע מטה"
"Meta Title","כותרת מטא"
"Meta Keywords","מילות מפתח מטא"
"Meta Description","תיאור מטא"
"Home","בית"
"Go to Home Page","עבור לעמוד הבית"
"Brands","מותגים"
"Brand option has been saved successfully.","אפשרות המותג נשמרה בהצלחה."
"Attribute option does not exist.","אפשרות תכונה אינה קיימת."
"-- Please select --","-- בבקשה תבחר --"
"Toplink","טופלינק"
"Footerlink","Footerlink"
"Category","קטגוריה"
"Logo Only","לוגו בלבד"
"Logo and Label","לוגו ותווית"
"-- Please Select --","-- בבקשה תבחר --"
"There is no sample file for this entity.","אין קובץ לדוגמה עבור ישות זו."
"Sort Option","מיין אפשרות"
"Setting","הגדרה"
"Delete","לִמְחוֹק"
"Choose a color","בחר צבע"
"Upload a file","לעלות קובץ"
"Clear","ברור"
"All","את כל"
"label' 'char","תווית ''"
"There is no brand available.","אין מותג זמין."
"Search a brand name","חפש שם מותג"
"Search","חפש"
"Brand Configuration","תצורת מותג"
"Save","להציל"
"Cancel","לְבַטֵל"
"Shop by brand","חנות לפי מותג"
"General","כללי"
"Enable","לְאַפשֵׁר"
"Brand Attribute","תכונת המותג"
"Brand Link Title","כותרת הקישור למותג"
"Show Brand Link In","הצג קישור מותג ב"
"All Brands Page Settings","כל הגדרות הדף מותגים"
"Brand route","נתיב מותג"
"Brand list name","שם רשימת מותגים"
"Display Option","אפשרות תצוגה"
"Style Color","צבע סגנון"
"Show Brand Description","הצג תיאור מותג"
"Brand Search Settings","הגדרות חיפוש מותגים"
"Show Search Block","הצג חסימת חיפוש"
"Min chars","מיני תווים"
"Maximum Query Result","תוצאת שאילתה מקסימלית"
"Visible Image","תמונה גלויה"
"Featured Brand Settings","הגדרות מותג נבחרות"
"Show Featured Brands","הצג מותגים נבחרים"
"Title","כותרת"
"Display Information","הצגת מידע"
"Embedded Code","קוד מוטבע"
"Default Image","תמונה ברירת מחדל"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","תמונת ברירת מחדל עבור מותג. אם התמונה ריקה, התמונה המוגדרת כברירת מחדל של המוצר תהיה בשימוש. <br /> (jpg, jpeg, gif, png)"
"Default Block","בלוק ברירת מחדל"
"Show Brand Image On Brand Page","הצג תמונת מותג בדף המותג"
"Show Brand Description On Brand Page","הצג תיאור מותג בדף המותג"
"Show Brand Static Block On Brand Page","הצג בלוק סטטי על דף המותג"
"Default Config","תצורת ברירת מחדל"
