"Brand Information","ブランド情報"
"Page Title","ページタイトル"
"If empty, option label by store will be used.","空の場合は、ストア別のオプションラベルが使用されます。"
"Url Key","Urlキー"
"Brand Image","ブランドイメージ"
"If empty, option visual image or default image from configuration will be used.","空の場合は、オプションのビジュアルイメージまたは設定から​​のデフォルトイメージが使用されます。"
"Featured","注目"
"Enabled","有効"
"Disabled","無効"
"If 'Enabled', this brand will be displayed on featured brand slider.","「有効」に設定すると、このブランドはおすすめのブランドスライダーに表示されます。"
"Short Description","簡単な説明"
"Description","説明"
"CMS Block","CMSブロック"
"Meta Information","メタ情報"
"Meta Title","メタタイトル"
"Meta Keywords","メタキーワード"
"Meta Description","メタ記述"
"Home","ホーム"
"Go to Home Page","ホームページへ"
"Brands","ブランド"
"Brand option has been saved successfully.","ブランドオプションが正常に保存されました。"
"Attribute option does not exist.","属性オプションが存在しません。"
"-- Please select --","-  選んでください  -"
"Toplink","トップリンク"
"Footerlink","フッターリンク"
"Category","カテゴリー"
"Logo Only","ロゴのみ"
"Logo and Label","ロゴとラベル"
"-- Please Select --","-  選んでください  -"
"There is no sample file for this entity.","このエンティティのサンプルファイルはありません。"
"Sort Option","並べ替えオプション"
"Setting","設定"
"Delete","削除"
"Choose a color","色を選択してください"
"Upload a file","ファイルをアップロードする"
"Clear","クリア"
"All","すべて"
"label' 'char","ラベル '' char"
"There is no brand available.","利用可能なブランドはありません。"
"Search a brand name","ブランド名を検索する"
"Search","サーチ"
"Brand Configuration","ブランド構成"
"Save","セーブ"
"Cancel","キャンセル"
"Shop by brand","ブランド別ショップ"
"General","一般"
"Enable","有効にする"
"Brand Attribute","ブランド属性"
"Brand Link Title","ブランドリンクのタイトル"
"Show Brand Link In","ブランドリンクを表示する"
"All Brands Page Settings","すべてのブランドページ設定"
"Brand route","ブランドルート"
"Brand list name","ブランドリスト名"
"Display Option","表示オプション"
"Style Color","スタイルカラー"
"Show Brand Description","ブランド説明を表示する"
"Brand Search Settings","ブランド検索の設定"
"Show Search Block","検索ブロックを表示"
"Min chars","最小文字数"
"Maximum Query Result","最大問合せ結果"
"Visible Image","可視画像"
"Featured Brand Settings","注目ブランドの設定"
"Show Featured Brands","おすすめブランドを表示"
"Title","タイトル"
"Display Information","表示情報"
"Embedded Code","埋め込みコード"
"Default Image","デフォルト画像"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","ブランドのデフォルト画像空の場合は、商品プレースホルダのデフォルト画像が使用されます。<br />（jpg、jpeg、gif、png）"
"Default Block","デフォルトブロック"
"Show Brand Image On Brand Page","ブランドページにブランドイメージを表示する"
"Show Brand Description On Brand Page","ブランドページにブランド説明を表示する"
"Show Brand Static Block On Brand Page","ブランドページにブランドスタティックブロックを表示する"
"Default Config","デフォルト設定"
