"Brand Information","Merkinformatie"
"Page Title","Pagina titel"
"If empty, option label by store will be used.","Als leeg, zal optie label per winkel worden gebruikt."
"Url Key","Url-sleutel"
"Brand Image","Brand Image"
"If empty, option visual image or default image from configuration will be used.","Als leeg, wordt de optie visuele afbeelding of standaard afbeelding van de configuratie gebruikt."
"Featured","Uitgelicht"
"Enabled","Ingeschakeld"
"Disabled","invalide"
"If 'Enabled', this brand will be displayed on featured brand slider.","Als 'Ingeschakeld' wordt, wordt dit merk weergegeven op de schuifregelaar voor gerenommeerde merken."
"Short Description","korte beschrijving"
"Description","Beschrijving"
"CMS Block","CMS-blok"
"Meta Information","Meta Informatie"
"Meta Title","Meta Titel"
"Meta Keywords","Meta Trefwoorden"
"Meta Description","Meta omschrijving"
"Home","Huis"
"Go to Home Page","Ga naar homepagina"
"Brands","merken"
"Brand option has been saved successfully.","Brand optie is succesvol opgeslagen."
"Attribute option does not exist.","Attribuut optie bestaat niet."
"-- Please select --","-- Selecteer alstublieft --"
"Toplink","Toplink"
"Footerlink","FooterLink"
"Category","Categorie"
"Logo Only","Alleen logo"
"Logo and Label","Logo en label"
"-- Please Select --","-- Selecteer alstublieft --"
"There is no sample file for this entity.","Er is geen voorbeeldbestand voor deze entiteit."
"Sort Option","Sorteren optie"
"Setting","omgeving"
"Delete","Verwijder"
"Choose a color","Kies een kleur"
"Upload a file","Een bestand uploaden"
"Clear","Duidelijk"
"All","Alle"
"label' 'char","Label '' char"
"There is no brand available.","Er is geen merk beschikbaar."
"Search a brand name","Zoek een merknaam"
"Search","Zoeken"
"Brand Configuration","Merkconfiguratie"
"Save","Save"
"Cancel","Annuleer"
"Shop by brand","Winkel op merk"
"General","Algemeen"
"Enable","in staat stellen"
"Brand Attribute","Merk Attribuut"
"Brand Link Title","Merk Link Titel"
"Show Brand Link In","Toon merklink in"
"All Brands Page Settings","Alle merkenpagina instellingen"
"Brand route","Merk route"
"Brand list name","Merk lijst naam"
"Display Option","Weergaveoptie"
"Style Color","Stijl Kleur"
"Show Brand Description","Toon merkomschrijving"
"Brand Search Settings","Brand Search Settings"
"Show Search Block","Toon zoekblok"
"Min chars","Min tekens"
"Maximum Query Result","Maximale zoekresultaat"
"Visible Image","Zichtbaar beeld"
"Featured Brand Settings","Aanbevolen merkinstellingen"
"Show Featured Brands","Toon Uitgelichte Merken"
"Title","Titel"
"Display Information","Toon informatie"
"Embedded Code","Embedded Code"
"Default Image","Standaard afbeelding"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Standaard afbeelding voor merk. Als leeg, wordt het standaardbeeld van de producthouder gebruikt.<br /> (jpg, jpeg, gif, png)"
"Default Block","Standaard blok"
"Show Brand Image On Brand Page","Toon merkfoto op merkpagina"
"Show Brand Description On Brand Page","Toon merkomschrijving op merkpagina"
"Show Brand Static Block On Brand Page","Toon merk statisch blok op merkpagina"
"Default Config","Standaard Config"
