"Brand Information","Informacje o marce"
"Page Title","Tytuł strony"
"If empty, option label by store will be used.","Jeśli jest pusty, zostanie użyta opcja etykiety w magazynie."
"Url Key","Klucz Url"
"Brand Image","Wizerunek marki"
"If empty, option visual image or default image from configuration will be used.","Jeśli jest pusty, zostanie użyty opcjonalny obraz lub domyślny obraz z konfiguracji."
"Featured","Opisany"
"Enabled","Włączone"
"Disabled","Niepełnosprawny"
"If 'Enabled', this brand will be displayed on featured brand slider.","Jeśli opcja ""Enabled"", ta marka zostanie wyświetlona na specjalnym suwaku marki."
"Short Description","krótki opis"
"Description","Opis"
"CMS Block","Blok CMS"
"Meta Information","Informacje Meta"
"Meta Title","Tytuł Meta"
"Meta Keywords","Meta Słowa kluczowe"
"Meta Description","Opis Meta"
"Home","Dom"
"Go to Home Page","Wróć do strony głównej"
"Brands","Marki"
"Brand option has been saved successfully.","Opcja Marka została zapisana pomyślnie."
"Attribute option does not exist.","Opcja Atrybut nie istnieje."
"-- Please select --","-- Proszę wybrać --"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","Kategoria"
"Logo Only","Tylko Logo"
"Logo and Label","Logo i etykieta"
"-- Please Select --","-- Proszę wybrać --"
"There is no sample file for this entity.","Nie ma pliku przykładowego dla tego podmiotu."
"Sort Option","Opcja sortowania"
"Setting","Oprawa"
"Delete","Kasować"
"Choose a color","Wybierz kolor"
"Upload a file","Prześlij plik"
"Clear","Jasny"
"All","Wszystko"
"label' 'char","Etykieta ""char"
"There is no brand available.","Nie ma marki."
"Search a brand name","Wyszukaj nazwę marki"
"Search","Szukanie"
"Brand Configuration","Konfiguracja marki"
"Save","Zapisać"
"Cancel","Anuluj"
"Shop by brand","Kupuj według marki"
"General","Generał"
"Enable","Włączyć"
"Brand Attribute","Atrybut Marka"
"Brand Link Title","Tytuł łącza marki"
"Show Brand Link In","Pokaż link do marki"
"All Brands Page Settings","Wszystkie ustawienia strony marki"
"Brand route","Trasa marszruty"
"Brand list name","Nazwa listy marek"
"Display Option","Opcja wyświetlania"
"Style Color","Kolor stylu"
"Show Brand Description","Pokaż opis marki"
"Brand Search Settings","Ustawienia wyszukiwania marki"
"Show Search Block","Pokaż blok wyszukiwania"
"Min chars","Min"
"Maximum Query Result","Maksymalny wynik zapytania"
"Visible Image","Widoczny obraz"
"Featured Brand Settings","Polecane ustawienia marki"
"Show Featured Brands","Pokaż wybrane marki"
"Title","Tytuł"
"Display Information","Wyświetl informacje"
"Embedded Code","Kod wbudowany"
"Default Image","Domyślny obraz"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Domyślny obraz marki. Jeśli jest pusty, zostanie użyty domyślny obraz zastępczy produktu.<br /> (jpg, jpeg, gif, png)"
"Default Block","Domyślny blok"
"Show Brand Image On Brand Page","Pokaż zdjęcie marki na stronie marki"
"Show Brand Description On Brand Page","Pokaż opis marki On Brand Page"
"Show Brand Static Block On Brand Page","Pokaż Brand Static Block na stronie marki"
"Default Config","Domyślna konfiguracja"
