"Brand Information","Brand Information"
"Page Title","Page Title"
"If empty, option label by store will be used.","If empty, option label by store will be used."
"Url Key","Url Key"
"Brand Image","Brand Image"
"If empty, option visual image or default image from configuration will be used.","If empty, option visual image or default image from configuration will be used."
"Featured","Featured"
"Enabled","Enabled"
"Disabled","Disabled"
"If 'Enabled', this brand will be displayed on featured brand slider.","If 'Enabled', this brand will be displayed on featured brand slider."
"Short Description","Short Description"
"Description","Description"
"CMS Block","CMS Block"
"Meta Information","Meta Information"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Home","Home"
"Go to Home Page","Go to Home Page"
"Brands","Brands"
"Brand option has been saved successfully.","Brand option has been saved successfully."
"Attribute option does not exist.","Attribute option does not exist."
"-- Please select --","-- Please select --"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","Category"
"Logo Only","Logo Only"
"Logo and Label","Logo and Label"
"-- Please Select --","-- Please Select --"
"There is no sample file for this entity.","There is no sample file for this entity."
"Sort Option","Sort Option"
"Setting","Setting"
"Delete","Delete"
"Choose a color","Choose a color"
"Upload a file","Upload a file"
"Clear","Clear"
"All","All"
"label' 'char","label' 'char"
"There is no brand available.","There is no brand available."
"Search a brand name","Search a brand name"
"Search","Search"
"Brand Configuration","Brand Configuration"
"Save","Save"
"Cancel","Cancel"
"Shop by brand","Shop by brand"
"General","General"
"Enable","Enable"
"Brand Attribute","Brand Attribute"
"Brand Link Title","Brand Link Title"
"Show Brand Link In","Show Brand Link In"
"All Brands Page Settings","All Brands Page Settings"
"Brand route","Brand route"
"Brand list name","Brand list name"
"Display Option","Display Option"
"Style Color","Style Color"
"Show Brand Description","Show Brand Description"
"Brand Search Settings","Brand Search Settings"
"Show Search Block","Show Search Block"
"Min chars","Min chars"
"Maximum Query Result","Maximum Query Result"
"Visible Image","Visible Image"
"Featured Brand Settings","Featured Brand Settings"
"Show Featured Brands","Show Featured Brands"
"Title","Title"
"Display Information","Display Information"
"Embedded Code","Embedded Code"
"Default Image","Default Image"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)"
"Default Block","Default Block"
"Show Brand Image On Brand Page","Show Brand Image On Brand Page"
"Show Brand Description On Brand Page","Show Brand Description On Brand Page"
"Show Brand Static Block On Brand Page","Show Brand Static Block On Brand Page"
"Default Config","Default Config"
