"Brand Information","Informații privind mărcile"
"Page Title","Titlul paginii"
"If empty, option label by store will be used.","Dacă este gol, se va utiliza eticheta de opțiune pentru magazin."
"Url Key","Cheia Url"
"Brand Image","Imaginea marcii"
"If empty, option visual image or default image from configuration will be used.","Dacă este gol, va fi utilizată imaginea vizuală de opțiune sau imaginea implicită din configurație."
"Featured","Recomandate"
"Enabled","Activat"
"Disabled","invalid"
"If 'Enabled', this brand will be displayed on featured brand slider.","Dacă ""Enabled"" (Activat), acest brand va fi afișat pe glisorul de marcă recomandat."
"Short Description","scurta descriere"
"Description","Descriere"
"CMS Block","CMS Block"
"Meta Information","Informații despre Meta"
"Meta Title","Titlul Meta"
"Meta Keywords","Cuvinte cheie Meta"
"Meta Description","Meta Descriere"
"Home","Acasă"
"Go to Home Page","Mergi la pagina principală, mergi la pagina de început"
"Brands","Mărci"
"Brand option has been saved successfully.","Opțiunea de marcă a fost salvată cu succes."
"Attribute option does not exist.","Opțiunea de atribut nu există."
"-- Please select --","-- Te rog selecteaza --"
"Toplink","Toplink"
"Footerlink","FooterLink"
"Category","Categorie"
"Logo Only","Numai sigla"
"Logo and Label","Logo și etichetă"
"-- Please Select --","-- Te rog selecteaza --"
"There is no sample file for this entity.","Nu există fișier exemplu pentru această entitate."
"Sort Option","Opțiunea de sortare"
"Setting","reglaj"
"Delete","Șterge"
"Choose a color","Alegeți o culoare"
"Upload a file","Incarca un fisier"
"Clear","clar"
"All","Toate"
"label' 'char","Etichetă """
"There is no brand available.","Nu există niciun brand disponibil."
"Search a brand name","Căutați un nume de marcă"
"Search","Căutare"
"Brand Configuration","Configurația mărcii"
"Save","Salvați"
"Cancel","Anulare"
"Shop by brand","Magazin după marcă"
"General","General"
"Enable","Permite"
"Brand Attribute","Atributul de marcă"
"Brand Link Title","Link Title Link"
"Show Brand Link In","Afișați linkul mărcii în"
"All Brands Page Settings","Toate setările paginilor de marcă"
"Brand route","Traseul marcii"
"Brand list name","Numele listei de mărci"
"Display Option","Opțiunea de afișare"
"Style Color","Culoarea stilului"
"Show Brand Description","Afișați descrierea mărcii"
"Brand Search Settings","Setările de căutare ale mărcii"
"Show Search Block","Afișați blocul de căutare"
"Min chars","Caracterele minime"
"Maximum Query Result","Rezultatul maxim al interogării"
"Visible Image","Imagine vizibilă"
"Featured Brand Settings","Setările de marcă recomandate"
"Show Featured Brands","Afișați mărcile recomandate"
"Title","Titlu"
"Display Information","Afișați informații"
"Embedded Code","Cod încorporat"
"Default Image","Imaginea prestabilită"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Imaginea prestabilită pentru marcă. Dacă este goală, va fi utilizată imaginea implicită a destinației de înlocuire a produsului.<br /> (jpg, jpeg, gif, png)"
"Default Block","Blocul implicit"
"Show Brand Image On Brand Page","Afișați imaginea mărcii pe pagina de marcă"
"Show Brand Description On Brand Page","Afișează descrierea mărcii pe pagina de marcă"
"Show Brand Static Block On Brand Page","Afișați blocul static al mărcii pe pagina de marcă"
"Default Config","Config"
