"Brand Information","Информация о бренде"
"Page Title","Заголовок страницы"
"If empty, option label by store will be used.","Если пустым, будет использоваться метка выбора по магазину."
"Url Key","Url Key"
"Brand Image","Изображение бренда"
"If empty, option visual image or default image from configuration will be used.","Если пустым, будет использоваться визуальное изображение опции или изображение по умолчанию из конфигурации."
"Featured","Рекомендуемые"
"Enabled","Включено"
"Disabled","Отключено"
"If 'Enabled', this brand will be displayed on featured brand slider.","Если «Включено», этот бренд будет отображаться на полнофункциональном слайдере."
"Short Description","Краткое описание"
"Description","Описание"
"CMS Block","Блок CMS"
"Meta Information","Мета-информация"
"Meta Title","Мета-название"
"Meta Keywords","Мета Ключевые слова"
"Meta Description","Описание Meta"
"Home","Главная"
"Go to Home Page","Вернуться на домашнюю страницу"
"Brands","Бренды"
"Brand option has been saved successfully.","Бренд успешно сохранен."
"Attribute option does not exist.","Опция атрибута не существует."
"-- Please select --","-- Пожалуйста выберите --"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","категория"
"Logo Only","Только логотип"
"Logo and Label","Логотип и ярлык"
"-- Please Select --","-- Пожалуйста выберите --"
"There is no sample file for this entity.","Для этого объекта нет образца файла."
"Sort Option","Вариант сортировки"
"Setting","настройка"
"Delete","Удалить"
"Choose a color","Выберите цвет"
"Upload a file","Загрузить файл"
"Clear","Очистить"
"All","Все"
"label' 'char","Label '' char"
"There is no brand available.","Нет брендов."
"Search a brand name","Поиск торговой марки"
"Search","Поиск"
"Brand Configuration","Конфигурация бренда"
"Save","Сохранить"
"Cancel","Отмена"
"Shop by brand","Интернет-магазин"
"General","Генеральная"
"Enable","включить"
"Brand Attribute","Атрибут бренда"
"Brand Link Title","Заголовок торговой марки"
"Show Brand Link In","Показать связь бренда"
"All Brands Page Settings","Настройки всех брендов"
"Brand route","Маршрут марки"
"Brand list name","Название списка брендов"
"Display Option","Опция отображения"
"Style Color","Цвет стиля"
"Show Brand Description","Показать фирменное наименование"
"Brand Search Settings","Настройки поиска бренда"
"Show Search Block","Показать блок поиска"
"Min chars","Минимальные символы"
"Maximum Query Result","Максимальный результат запроса"
"Visible Image","Видимое изображение"
"Featured Brand Settings","Избранные настройки бренда"
"Show Featured Brands","Показать избранные бренды"
"Title","заглавие"
"Display Information","Отображать информацию"
"Embedded Code","Встроенный код"
"Default Image","Изображение по умолчанию"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Изображение по умолчанию для бренда. Если пустым, будет использоваться образ по умолчанию для заметок продукта.<br /> (jpg, jpeg, gif, png)"
"Default Block","Блок по умолчанию"
"Show Brand Image On Brand Page","Показать изображение бренда на странице бренда"
"Show Brand Description On Brand Page","Показать фирменное наименование"
"Show Brand Static Block On Brand Page","Показать марку статического блока на странице бренда"
"Default Config","Конфигурация по умолчанию"
