"Brand Information","Märkesinformation"
"Page Title","Namn på sidan"
"If empty, option label by store will be used.","Om tomt används alternativtikett per butik."
"Url Key","Url-nyckel"
"Brand Image","Brand Image"
"If empty, option visual image or default image from configuration will be used.","Om tomt används alternativet visuell bild eller standardbild från konfiguration."
"Featured","Dagens"
"Enabled","Aktiverad"
"Disabled","Inaktiverad"
"If 'Enabled', this brand will be displayed on featured brand slider.","Om ""Enabled"", kommer detta märke att visas på glidfliken med funktionen."
"Short Description","kort beskrivning"
"Description","Beskrivning"
"CMS Block","CMS Block"
"Meta Information","Meta Information"
"Meta Title","Metatitel"
"Meta Keywords","Meta Nyckelord"
"Meta Description","Meta Beskrivning"
"Home","Hem"
"Go to Home Page","Gå till hemsidan"
"Brands","Märken"
"Brand option has been saved successfully.","Brandalternativet har sparats framgångsrikt."
"Attribute option does not exist.","Attribut alternativ finns inte."
"-- Please select --","-- Vänligen välj --"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","Kategori"
"Logo Only","Endast logotyp"
"Logo and Label","Logo och etikett"
"-- Please Select --","-- Vänligen välj --"
"There is no sample file for this entity.","Det finns ingen provfil för den här enheten."
"Sort Option","Sortera alternativ"
"Setting","Miljö"
"Delete","Radera"
"Choose a color","Välj en färg"
"Upload a file","Ladda upp en fil"
"Clear","Klar"
"All","Allt"
"label' 'char","Etikett '' char"
"There is no brand available.","Det finns inget märke tillgängligt."
"Search a brand name","Sök ett varumärke"
"Search","Sök"
"Brand Configuration","Brand konfiguration"
"Save","Spara"
"Cancel","Annullera"
"Shop by brand","Handla efter varumärke"
"General","Allmän"
"Enable","Gör det möjligt"
"Brand Attribute","Brand Attribut"
"Brand Link Title","Brand Link Title"
"Show Brand Link In","Visa varumärke Länk In"
"All Brands Page Settings","Alla varumärkens sidainställningar"
"Brand route","Brandväg"
"Brand list name","Varumärkesnamn"
"Display Option","Visningsalternativ"
"Style Color","Stil Färg"
"Show Brand Description","Visa varumärkesbeskrivning"
"Brand Search Settings","Brand Search Settings"
"Show Search Block","Visa sökblock"
"Min chars","Mina tecken"
"Maximum Query Result","Högsta sökresultat"
"Visible Image","Synlig bild"
"Featured Brand Settings","Utvalda varumärkesinställningar"
"Show Featured Brands","Visa utvalda varumärken"
"Title","Titel"
"Display Information","Visningsinformation"
"Embedded Code","Inbäddad kod"
"Default Image","Standardbild"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Standardbild för varumärke. Om tomt används standardplatsen för produktplatshållaren.<br /> (jpg, jpeg, gif, png)"
"Default Block","Standard Block"
"Show Brand Image On Brand Page","Visa varumärkesbild på varumärkessida"
"Show Brand Description On Brand Page","Visa varumärkesbeskrivning på varumärkessida"
"Show Brand Static Block On Brand Page","Visa varumärke Statisk block på varumärkes sida"
"Default Config","Standardkonfiguration"
