"Brand Information","Інформація про бренд"
"Page Title","Назва сторінки"
"If empty, option label by store will be used.","Якщо порожній, буде використано маркер опції магазином."
"Url Key","Url Key"
"Brand Image","Імідж бренду"
"If empty, option visual image or default image from configuration will be used.","Якщо порожній, буде використано візуальне зображення параметра або образ за замовчуванням з конфігурації."
"Featured","Рекомендовані"
"Enabled","Увімкнено"
"Disabled","Вимкнено"
"If 'Enabled', this brand will be displayed on featured brand slider.","Якщо ""Ввімкнено"", ця марка буде відображатися у повнофункціональному слайдері."
"Short Description","Короткий опис"
"Description","Опис"
"CMS Block","Блок CMS"
"Meta Information","Мета інформація"
"Meta Title","Мета Назва"
"Meta Keywords","Мета-ключові слова"
"Meta Description","Мета опис"
"Home","Будинок"
"Go to Home Page","Перейдіть на домашню сторінку"
"Brands","Бренди"
"Brand option has been saved successfully.","Варіант бренда був успішно збережений."
"Attribute option does not exist.","Параметр атрибуту не існує."
"-- Please select --","-- Виберіть будь ласка --"
"Toplink","Toplink"
"Footerlink","Footerlink"
"Category","Категорія"
"Logo Only","Тільки логотип"
"Logo and Label","Логотип та етикетка"
"-- Please Select --","-- Виберіть будь ласка --"
"There is no sample file for this entity.","Немає такого зразка для цього об'єкта."
"Sort Option","Варіант сортування"
"Setting","Налаштування"
"Delete","Видалити"
"Choose a color","Виберіть колір"
"Upload a file","Завантажте файл"
"Clear","Ясно"
"All","Все"
"label' 'char","Label '' char"
"There is no brand available.","Немає бренду."
"Search a brand name","Шукати назву торгової марки"
"Search","Пошук"
"Brand Configuration","Конфігурація бренда"
"Save","Зберегти"
"Cancel","Скасувати"
"Shop by brand","Магазин за брендом"
"General","Генерал"
"Enable","Увімкнути"
"Brand Attribute","Атрибут бренда"
"Brand Link Title","Назва торгової марки"
"Show Brand Link In","Показати назву бренда в"
"All Brands Page Settings","Усі параметри сторінки брендів"
"Brand route","Брендовий маршрут"
"Brand list name","Назва списку брендів"
"Display Option","Опція відображення"
"Style Color","Колір стилю"
"Show Brand Description","Показати опис бренда"
"Brand Search Settings","Налаштування пошуку бренда"
"Show Search Block","Показати блок пошуку"
"Min chars","Мінімальна кількість символів"
"Maximum Query Result","Максимальний результат запиту"
"Visible Image","Видиме зображення"
"Featured Brand Settings","Рекомендовані параметри бренда"
"Show Featured Brands","Показати представлені бренди"
"Title","Назва"
"Display Information","Відображення інформації"
"Embedded Code","Вбудований код"
"Default Image","Зображення за замовчуванням"
"Default Image for Brand. If empty, the product placeholder default image will be used.<br />(jpg, jpeg, gif, png)","Стандартний образ для бренду. Якщо порожній, буде використано зображення за замовчуванням із заставкою продукту.<br /> (jpg, jpeg, gif, png)"
"Default Block","За замовчуванням блок"
"Show Brand Image On Brand Page","Показати зображення бренда на сторінці бренда"
"Show Brand Description On Brand Page","Показати опис бренда на сторінці бренда"
"Show Brand Static Block On Brand Page","Показати бренд Статичний блок на сторінці бренда"
"Default Config","Стандартна конфігурація"
