Back,Back
Delete,Delete
"Are you sure you want to do this?","Are you sure you want to do this?"
Save,Save
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"You saved the template.","You saved the template."
"Something went wrong while saving the template.","Something went wrong while saving the template."
"The template has been deleted.","The template has been deleted."
"We can't find a template to delete.","We can't find a template to delete."
"Page Builder","Page Builder"
"Manage Templates","Manage Templates"
"This template no longer exists.","This template no longer exists."
"Edit Template","Edit Template"
"New Template","New Template"
Templates,Templates
"Magezon Page Builder Templates","Magezon Page Builder Templates"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"You duplicated the template","You duplicated the template"
"Widget Title","Widget Title"
"Title Alignment","Title Alignment"
"Title Tag","Title Tag"
"Show Line","Show Line"
"Widget Description","Widget Description"
Gap,Gap
"Active Sections","Active Sections"
"Enter active sections number. Comma-separated. Leave empty or enter non-existing number to close all sections on page load.","Enter active sections number. Comma-separated. Leave empty or enter non-existing number to close all sections on page load."
"Allow Collapse All","Allow Collapse All"
"Allow collapse multiple sections.","Allow collapse multiple sections."
"At Least Once Open","At Least Once Open"
Icon,Icon
"Icon Position","Icon Position"
"Active Icon","Active Icon"
"Do not fill content area?","Do not fill content area?"
"Hide Empty Section","Hide Empty Section"
Section,Section
Alignment,Alignment
Spacing,Spacing
"Title Font Size","Title Font Size"
"Border Width","Border Width"
"Border Radius","Border Radius"
"Border Style","Border Style"
"Theme defaults","Theme defaults"
"Title Colors","Title Colors"
Normal,Normal
"Text Color","Text Color"
"Background Color","Background Color"
"Border Color","Border Color"
Hover,Hover
Active,Active
"Content Background Color","Content Background Color"
"Content Padding","Content Padding"
None,None
Chevron,Chevron
Plus,Plus
Triangle,Triangle
Custom,Custom
Title,Title
"Add Icon","Add Icon"
Text,Text
Link,Link
"On Click Code","On Click Code"
"Element Auto Width","Element Auto Width"
"Display multiple buttons in same row","Display multiple buttons in same row"
"Button Design","Button Design"
"Button Style","Button Style"
"Button Size","Button Size"
"Set Full Width Button","Set Full Width Button"
"Gradient Color 1","Gradient Color 1"
"Gradient Color 2","Gradient Color 2"
"BoxShadow Color","BoxShadow Color"
Colors,Colors
"Inline CSS","Inline CSS"
Modern,Modern
Flat,Flat
3D,3D
Gradient,Gradient
"Title HTML Tag","Title HTML Tag"
Description,Description
"Content Position","Content Position"
"Content Alignment","Content Alignment"
"Content Hover Animation","Content Hover Animation"
"Animation Duration (ms)","Animation Duration (ms)"
"Sequenced Animation","Sequenced Animation"
Image,Image
"Image Position","Image Position"
"Image Min Width","Image Min Width"
"Image Min Height","Image Min Height"
"Image Hover Animation","Image Hover Animation"
"Icon Size","Icon Size"
Label,Label
"Label Position","Label Position"
"Label Distance","Label Distance"
"Box Link","Box Link"
Style,Style
"Content Wrapper Width","Content Wrapper Width"
"Content Width","Content Width"
"Content Min Height","Content Min Height"
"Box Border Radius","Box Border Radius"
"Title Spacing","Title Spacing"
"Description Spacing","Description Spacing"
"Icon Spacing","Icon Spacing"
"Title Color","Title Color"
"Description Color","Description Color"
"Overlay Color","Overlay Color"
"Label Color","Label Color"
"Label Background Color","Label Background Color"
"Icon Color","Icon Color"
"Button Position","Button Position"
Zoom,Zoom
Border,Border
"Border Zoom","Border Zoom"
Flashed,Flashed
"Flashed Zoom","Flashed Zoom"
Shadow,Shadow
"Shadow Zoom ","Shadow Zoom "
Cover,Cover
Top,Top
Right,Right
Left,Left
"Line Position","Line Position"
"Line Color","Line Color"
"Line Width","Line Width"
Categories,Categories
"Show product counts","Show product counts"
"Show hierarchy","Show hierarchy"
"Link Color","Link Color"
"Link Hover Color","Link Hover Color"
"Link Font Size","Link Font Size"
"Link Font Weight","Link Font Weight"
"Link Border Width","Link Border Width"
"Link Border Color","Link Border Color"
Width,Width
"Show Title","Show Title"
"Show Description","Show Description"
Sliders,Sliders
Content,Content
"Heading ","Heading "
"Sub Heading ","Sub Heading "
Day,Day
Month,Month
Year,Year
Hours,Hours
Minutes,Minutes
"Time Zone","Time Zone"
"Link Text","Link Text"
"Link Url","Link Url"
Layout,Layout
"Number Color","Number Color"
"Number Size","Number Size"
"Number Background Color","Number Background Color"
"Number Border Radius","Number Border Radius"
"Number Padding","Number Padding"
"Number Spacing","Number Spacing"
"Text Size","Text Size"
"Text Inline","Text Inline"
"Show Time Separators","Show Time Separators"
"Separator Type","Separator Type"
"Separator Color","Separator Color"
"Separator Size","Separator Size"
"Circle Size","Circle Size"
"Circle Stroke Size","Circle Stroke Size"
"Circle Color1","Circle Color1"
"Circle Color2","Circle Color2"
"Circle Background Color","Circle Background Color"
"Heading Color","Heading Color"
"Heading Font Size","Heading Font Size"
"Sub Heading Color","Sub Heading Color"
"Sub Heading Font Size","Sub Heading Font Size"
Numbers,Numbers
"Numbers & Circles","Numbers & Circles"
Colon,Colon
Line,Line
"Facebook Page URL","Facebook Page URL"
"The absolute URL that comments posted in the plugin will be permanently associated with. All stories shared on Facebook about comments posted using the comments plugin will link to this URL.","The absolute URL that comments posted in the plugin will be permanently associated with. All stories shared on Facebook about comments posted using the comments plugin will link to this URL."
"Number of Posts","Number of Posts"
"The number of comments to show by default.","The number of comments to show by default."
"URL to Like","URL to Like"
"Leave empty to like the current page url","Leave empty to like the current page url"
"Action Type","Action Type"
"Show Friends' Faces","Show Friends' Faces"
"Show profile photos when 2 or more friends like this","Show profile photos when 2 or more friends like this"
"Include Share Button","Include Share Button"
"Includes a Share button beside the Like button","Includes a Share button beside the Like button"
standard,standard
box_count,box_count
button_count,button_count
button,button
like,like
recommend,recommend
small,small
large,large
"The URL of the Facebook Page","The URL of the Facebook Page"
Tabs,Tabs
"The pixel width of the embed (Min. 180 to Max. 500)","The pixel width of the embed (Min. 180 to Max. 500)"
Height,Height
"Use Small Header","Use Small Header"
"Uses a smaller version of the page header","Uses a smaller version of the page header"
"Hide Cover Photo","Hide Cover Photo"
"Hide the cover photo in the header","Hide the cover photo in the header"
"Adapt to plugin container width","Adapt to plugin container width"
"Plugin will try to fit inside the container","Plugin will try to fit inside the container"
"Show Friend's Faces","Show Friend's Faces"
"Show profile photos when friends like this","Show profile photos when friends like this"
"Flickr API Key","Flickr API Key"
"Your API application key. See <a href=""%1"" target=""_blank"">here</a> for more details.","Your API application key. See <a href=""%1"" target=""_blank"">here</a> for more details."
"Flickr Album ID","Flickr Album ID"
"Show Photo Title","Show Photo Title"
"Gap pixel between grid elements.","Gap pixel between grid elements."
Thumbnail,Thumbnail
Small,Small
Large,Large
Original,Original
"Open Magnific Popup","Open Magnific Popup"
"Open Photo Link","Open Photo Link"
Username,Username
Hashtag,Hashtag
"Large Square(150x150)","Large Square(150x150)"
Thumbnail(100x75),Thumbnail(100x75)
Small(240x180),Small(240x180)
Small(320x240),Small(320x240)
Medium(500x375),Medium(500x375)
Medium(640x480),Medium(640x480)
Medium(800x600),Medium(800x600)
Large(1024x768),Large(1024x768)
Flickr,Flickr
"Flip Direction","Flip Direction"
"Flip Effect","Flip Effect"
"Flip Duration","Flip Duration"
"Box Min Height","Box Min Height"
"Box Border Width","Box Border Width"
"Title Font Weight","Title Font Weight"
"Icon Spin","Icon Spin"
Circle,Circle
"Circle Boder Width","Circle Boder Width"
"Circle Border Color","Circle Border Color"
"Primary Block","Primary Block"
"Primary Title","Primary Title"
"Primary Alignment","Primary Alignment"
Color,Color
"Primary Text","Primary Text"
"Hover Block","Hover Block"
"Hover Title","Hover Title"
"Hover Alignment","Hover Alignment"
"Hover Image","Hover Image"
"Hover Text","Hover Text"
Up,Up
Down,Down
Classic,Classic
URL,URL
"Icon Design","Icon Design"
"Icon & Text Design","Icon & Text Design"
"Text Font Weight","Text Font Weight"
"Icon Colors","Icon Colors"
"Text Colors","Text Colors"
"Icon List","Icon List"
Horizontal,Horizontal
Vertical,Vertical
Images,Images
"On click action","On click action"
"Popup Image","Popup Image"
"Popup Title","Popup Title"
"Custom Link","Custom Link"
"Video or Map","Video or Map"
"Image Size","Image Size"
"Hover Effect","Hover Effect"
"Display Content on Hover","Display Content on Hover"
"Content Fullwidth","Content Fullwidth"
"Content Color","Content Color"
"Content Background","Content Background"
"Description Font Size","Description Font Size"
"Description Font Weight","Description Font Weight"
"Open Custom Link","Open Custom Link"
"Zoom In","Zoom In"
"Lift Up","Lift Up"
"Zoom Out","Zoom Out"
"Gallery Type","Gallery Type"
Type,Type
"Full Image","Full Image"
"Mobile Image","Mobile Image"
"Mobile Full Image","Mobile Full Image"
"Image Link","Image Link"
"Video Url","Video Url"
Caption,Caption
"Fotorama Options","Fotorama Options"
"Check more details at <a href=""%1"" target=""_blank"">here</a>","Check more details at <a href=""%1"" target=""_blank"">here</a>"
"Navigation Style","Navigation Style"
"Navigation Position","Navigation Position"
Margin,Margin
"Horizontal margins for frames in pixels.","Horizontal margins for frames in pixels."
"Thumbnail Width","Thumbnail Width"
"Thumbnail Height","Thumbnail Height"
"Thumbnail Margin","Thumbnail Margin"
"Allows Fullscreen","Allows Fullscreen"
Captions,Captions
"Captions visibility","Captions visibility"
Loop,Loop
Arrows,Arrows
"Turns on navigation arrows over the frames.","Turns on navigation arrows over the frames."
"Auto Play","Auto Play"
