"Bag","Warenkorb"
"Create an Account","Benutzerkonto"
"Sign In","Anmelden"
"Search entire store here...","Gesamten Shop durchsuchen..."
"Sale","Sale"
"Successful!","Erfolgreich!"
"Your cart","Ihr Warenkorb"
"has been added ","wurde hinzugefügt "
"Sort by:","Sortiere nach:"
"Showing %1-%2 of %3 results","Ergebnisse %1-%2 von %3 zeigt"
"Showing %1 result","Ergebnis %1 anzeigen"
"Showing %1 results","Ergebnisse %1 anzeigen"
"Sign up !","Anmelden !"
"Shop now","Jetzt einkaufen"
"Item","Artikel"
"View Cart","Warenkorb ansehen"
"Enter your destination to get a shipping estimate.","Geben Sie Ihr Ziel ein, um einen Versandvoranschlag zu erhalten."
"You have no items in your shopping cart.","Sie haben keine Artikel in Ihrem Warenkorb."
"You have","Sie haben"
"item in your cart","Artikel in Ihrem Warenkorb"
"items in your cart","Artikel in Ihrem Warenkorb"
"YOU MAY ALSO LIKE…","SIE KÖNNEN AUCH MÖGEN…"
"Related Products","Verwandte Produkte"
"In stock","Auf Lager"
"Out of stock","Nicht lieferbar"

